:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Dahaman Ishak\u00F7No\u00F727
Jiashen Teh\u00F7No\u00F727
Bestoun S. Ahmed\u00F7Yes\u00F728
Miroslav Bures\u00F7No\u00F728
Karel Frajták\u00F7No\u00F728
Tomás Cerný\u00F7No\u00F728
Abbas Ahmed\u00F7Yes\u00F729
Panagiotis Botsinis\u00F7No\u00F729
Seung Hwan Won\u00F7No\u00F729
Lie-Liang Yang\u00F7No\u00F729
Lajos Hanzo\u00F7No\u00F729
Bummo Ahn\u00F7Yes\u00F730
Woonjae Choi\u00F7No\u00F730
Mark P. Ottensmeyer\u00F7No\u00F730
Hoeryong Jung\u00F7No\u00F730
Qurat ul Ain Akram\u00F7Yes\u00F731
Sarmad Hussain\u00F7No\u00F731
Bahaa Al-Juboori\u00F7Yes\u00F732
Jiafeng Zhou\u00F7No\u00F732
Yi Huang\u00F7No\u00F732
Muaad Naser Hussein\u00F7No\u00F732
Ahmed Al-Tahmeesschi\u00F7No\u00F732
William J. Otter\u00F7No\u00F732
Dirk Klugmann\u00F7No\u00F732
Stepan Lucyszyn\u00F7No\u00F732
Obada Al-Khatib\u00F7Yes\u00F733
Wibowo Hardjawana\u00F7No\u00F733
Branka Vucetic\u00F7No\u00F733
Jaber Al-Khori\u00F7Yes\u00F734
Galymzhan Nauryzbayev\u00F7No\u00F734
Mohamed M. Abdallah 0001\u00F7No\u00F734
Mounir Hamdi\u00F7No\u00F734
Ala&apos;a A. Al-Omoush\u00F7Yes\u00F735
AbdulRahman A. Al-Sewari\u00F7No\u00F735
Hammoudeh S. Alamri\u00F7No\u00F735
Kamal Z. Zamli\u00F7No\u00F735
Waleed Mugahed Al-Rahmi\u00F7Yes\u00F736
Noraffandy Yahaya\u00F7No\u00F736
Mahdi M. Alamri\u00F7No\u00F736
Nada Ali Aljarboa\u00F7No\u00F736
Yusri Bin Kamin\u00F7No\u00F736
Fahad Abdullah Moafa\u00F7No\u00F736
Anas A. Al-Roubaiey\u00F7Yes\u00F737
Tarek R. Sheltami\u00F7No\u00F737
Ashraf S. Hasan Mahmoud\u00F7No\u00F737
Khaled Salah\u00F7No\u00F737
Fadi Al-Turjman\u00F7Yes\u00F738
Leonardo Mostarda\u00F7No\u00F738
Enver Ever\u00F7No\u00F738
Ahmed Darwish\u00F7No\u00F738
Naziha Shekh Khalil\u00F7No\u00F738
Ghada Al-mahbashi\u00F7Yes\u00F739
Mohd Salmi Md Noorani\u00F7No\u00F739
Majed A. AlRubaian\u00F7Yes\u00F740
Muhammad Al-Qurishi\u00F7No\u00F740
Atif Alamri\u00F7No\u00F740
Mabrook Al-Rakhami\u00F7No\u00F740
Mohammad Mehedi Hassan\u00F7No\u00F740
Giancarlo Fortino\u00F7No\u00F740
Ahmed Alagha\u00F7Yes\u00F741
Shakti Singh\u00F7No\u00F741
Rabeb Mizouni\u00F7No\u00F741
Anis Ouali\u00F7No\u00F741
Hadi Otrok\u00F7No\u00F741
Masoud Alajmi\u00F7Yes\u00F742
Khalfalla Awedat\u00F7No\u00F742
Almabrok Essa\u00F7No\u00F742
Fawaz Alassery\u00F7No\u00F742
Osama S. Faragallah\u00F7No\u00F742
Kamalova Albina\u00F7Yes\u00F743
Suk Gyu Lee\u00F7No\u00F743
Habtamu Zegeye Alemu\u00F7Yes\u00F744
Junhong Zhao\u00F7No\u00F744
Feng Li 0006\u00F7No\u00F744
Wei Wu 0010\u00F7No\u00F744
Antonio Alex-Amor\u00F7Yes\u00F745
Adrian Tamayo-Dominguez\u00F7No\u00F745
Angel Palomares-Caballero\u00F7No\u00F745
Jose M. Fernandez-Gonzalez\u00F7No\u00F745
Pablo Padilla\u00F7No\u00F745
Juan F. Valenzuela-Valdés\u00F7No\u00F745
Antonio Palomares\u00F7No\u00F745
Abdullah Alhalafi\u00F7Yes\u00F746
Amer AlGhadhban\u00F7No\u00F746
Basem Shihada\u00F7No\u00F746
Hossam Ali\u00F7Yes\u00F747
Gaber Magdy\u00F7No\u00F747
Binbin Li\u00F7No\u00F747
G. Shabib\u00F7No\u00F747
Adel A. Elbaset\u00F7No\u00F747
Dianguo Xu\u00F7No\u00F747
Yasunori Mitani\u00F7No\u00F747
Rashid Ali\u00F7Yes\u00F748
Nurullah Shahin\u00F7No\u00F748
Yousaf Bin Zikria\u00F7No\u00F748
Byung-Seo Kim\u00F7No\u00F748
Sung Won Kim\u00F7No\u00F748
Khurshed Ali\u00F7Yes\u00F749
Chih-Yu Wang 0001\u00F7No\u00F749
Yi-Shin Chen\u00F7No\u00F749
Alaleh Alivar\u00F7Yes\u00F750
Charles Carlson\u00F7No\u00F750
Ahmad Suliman\u00F7No\u00F750
Steve Warren\u00F7No\u00F750
Punit Prakash\u00F7No\u00F750
David E. Thompson 0001\u00F7No\u00F750
Balasubramaniam Natarajan\u00F7No\u00F750
Abduladem Aljamel\u00F7Yes\u00F751
Taha Osman\u00F7No\u00F751
Giovanni Acampora\u00F7No\u00F751
Autilia Vitiello\u00F7No\u00F751
Ziqi Zhang\u00F7No\u00F751
Abdulaziz Almalaq\u00F7Yes\u00F752
Jun Jason Zhang\u00F7No\u00F752
Abdulrahman Almuhareb\u00F7Yes\u00F753
Waleed Alsanie\u00F7No\u00F753
Abdulmohsen Al-Thubaity\u00F7No\u00F753
Yousef Alnafisah\u00F7Yes\u00F754
Fernando Alonso-Fernandez\u00F7Yes\u00F755
Reuben A. Farrugia\u00F7No\u00F755
Josef Bigün\u00F7No\u00F755
Julian Fiérrez\u00F7No\u00F755
Ester Gonzalez-Sosa\u00F7No\u00F755
Leticia Alonso-González\u00F7Yes\u00F756
Samuel Ver-Hoeye\u00F7No\u00F756
Miguel Fernández-García 0001\u00F7No\u00F756
Carlos Vazquez Antuna\u00F7No\u00F756
Fernando Las-Heras Andrés\u00F7No\u00F756
Leticia Alonso-González\u00F7Yes\u00F757
Samuel Ver-Hoeye\u00F7No\u00F757
Miguel Fernández-García 0001\u00F7No\u00F757
Carlos Vazquez Antuna\u00F7No\u00F757
Fernando Las-Heras Andrés\u00F7No\u00F757
Saud Alotaibi\u00F7Yes\u00F758
Yamen Alsaba\u00F7Yes\u00F759
Chee Yen Leow\u00F7No\u00F759
Sharul Kamal Abdul Rahim\u00F7No\u00F759
Yamen Alsaba\u00F7Yes\u00F760
Chee Yen Leow\u00F7No\u00F760
Sharul Kamal Abdul Rahim\u00F7No\u00F760
Amal Alturiman\u00F7Yes\u00F761
Maazen Alsabaan\u00F7No\u00F761
Alejandro Álvarez-Ayllón\u00F7Yes\u00F762
Manuel Palomo-Duarte\u00F7No\u00F762
Juan Manuel Dodero\u00F7No\u00F762
Joaquin Alvarez-Horcajo\u00F7Yes\u00F763
Diego Lopez-Pajares\u00F7No\u00F763
Isaías Martinez-Yelmo\u00F7No\u00F763
Juan A. Carral\u00F7No\u00F763
José M. Arco\u00F7No\u00F763
Ahmad Alzahrani\u00F7Yes\u00F764
Mehdi Ferdowsi\u00F7No\u00F764
Pourya Shamsi\u00F7No\u00F764
Syed Umar Amin\u00F7Yes\u00F765
M. Shamim Hossain\u00F7No\u00F765
Ghulam Muhammad\u00F7No\u00F765
Musaed Alhussein\u00F7No\u00F765
Mohamed Abdur Rahman\u00F7No\u00F765
Arslan Ahmed Amin\u00F7Yes\u00F766
Khalid Mahmood-Ul-Hasan\u00F7No\u00F766
Zhanfu An\u00F7Yes\u00F767
Weihong Deng\u00F7No\u00F767
Jiani Hu\u00F7No\u00F767
Yaoyao Zhong\u00F7No\u00F767
Yuying Zhao\u00F7No\u00F767
Jiyao An\u00F7Yes\u00F768
Meng Hu\u00F7No\u00F768
Li Fu\u00F7No\u00F768
Jiawei Zhan\u00F7No\u00F768
Hidenao Ando\u00F7Yes\u00F769
Yusuke Murase\u00F7No\u00F769
Daisuke Anzai\u00F7No\u00F769
Jianqing Wang\u00F7No\u00F769
Li-Minn Ang\u00F7Yes\u00F770
Kah Phooi Seng\u00F7No\u00F770
Gerald Ijemaru\u00F7No\u00F770
Adamu Murtala Zungeru\u00F7No\u00F770
Seyed Mahmoud Anisheh\u00F7Yes\u00F771
Hamed Abbasizadeh\u00F7No\u00F771
Hossein Shamsi\u00F7No\u00F771
Chitra Dadkhah\u00F7No\u00F771
Kang-Yoon Lee\u00F7No\u00F771
Nasreen Anjum\u00F7Yes\u00F772
Zhaohui Yang\u00F7No\u00F772
Hadi Saki\u00F7No\u00F772
Mehreen Kiran\u00F7No\u00F772
Mohammad Shikh-Bahaei\u00F7No\u00F772
Waheed Anwar\u00F7Yes\u00F773
Imran Sarwar Bajwa\u00F7No\u00F773
M. Abbas Choudhary\u00F7No\u00F773
Shabana Ramzan\u00F7No\u00F773
Muhammad Yeasir Arafat\u00F7Yes\u00F774
Sangman Moh\u00F7No\u00F774
Estefania Artigao\u00F7Yes\u00F775
Angel Sapena-Bano\u00F7No\u00F775
Andres Honrubia-Escribano\u00F7No\u00F775
Javier Martínez-Román\u00F7No\u00F775
Ruben Puche-Panadero\u00F7No\u00F775
Emilio Gómez-Lázaro\u00F7No\u00F775
Sajid M. Asif\u00F7Yes\u00F776
Adnan Iftikhar\u00F7No\u00F776
Jared Hansen\u00F7No\u00F776
Muhammad Saeed Khan\u00F7No\u00F776
Daniel L. Ewert\u00F7No\u00F776
Benjamin D. Braaten\u00F7No\u00F776
Mansoor Asif\u00F7Yes\u00F777
Ho-Yun Lee\u00F7No\u00F777
Umer Amir Khan\u00F7No\u00F777
Kyu-Hoon Park\u00F7No\u00F777
Bang Wook Lee\u00F7No\u00F777
Muhammad Aslam\u00F7Yes\u00F778
Muhammad Aslam\u00F7Yes\u00F779
Rashad A. R. Bantan\u00F7No\u00F779
Nasrullah Khan\u00F7No\u00F779
Yuya Atagi\u00F7Yes\u00F780
Tong Zhao\u00F7No\u00F780
Yoshiyuki Iso\u00F7No\u00F780
Masahiro Takei\u00F7No\u00F780
Ercan Atam\u00F7Yes\u00F781
Tuba Ayhan\u00F7Yes\u00F782
Mustafa Altun\u00F7No\u00F782
Hawazin Badawi\u00F7Yes\u00F783
Fedwa Laamarti\u00F7No\u00F783
Abdulmotaleb El-Saddik\u00F7No\u00F783
Mahmoud S. Badran\u00F7Yes\u00F784
Hanady H. Issa\u00F7No\u00F784
Saleh M. Eisa\u00F7No\u00F784
Hani Fikry Ragai\u00F7No\u00F784
Seungmin Baek\u00F7Yes\u00F785
Jaemin Baek\u00F7No\u00F785
Soohee Han\u00F7No\u00F785
Jae-Woo Baek\u00F7Yes\u00F786
Dong-Kyoo Kim\u00F7No\u00F786
Kyung-Young Jung\u00F7No\u00F786
Safa Bahri\u00F7Yes\u00F787
Nesrine Zoghlami\u00F7No\u00F787
Mourad Abed\u00F7No\u00F787
João Manuel R. S. Tavares\u00F7No\u00F787
Yechao Bai\u00F7Yes\u00F788
Jianghui Li\u00F7No\u00F788
Yu Wu\u00F7No\u00F788
Qiong Wang 0002\u00F7No\u00F788
Xinggan Zhang\u00F7No\u00F788
Jing Bai 0006\u00F7Yes\u00F789
Aiguo Song\u00F7No\u00F789
Xiaomei Bai\u00F7Yes\u00F790
Mengyang Wang\u00F7No\u00F790
Ivan Lee\u00F7No\u00F790
Zhuo Yang\u00F7No\u00F790
Xiangjie Kong\u00F7No\u00F790
Feng Xia 0001\u00F7No\u00F790
Tong Bai\u00F7Yes\u00F791
Chao Xu 0005\u00F7No\u00F791
Rong Zhang 0001\u00F7No\u00F791
Anas F. Al Rawi\u00F7No\u00F791
Lajos Hanzo\u00F7No\u00F791
Senthooran Balasubramaniam\u00F7Yes\u00F792
Carlos E. Ugalde-Loo\u00F7No\u00F792
Jun Liang\u00F7No\u00F792
Debdeep Banerjee\u00F7Yes\u00F793
Kevin Yu\u00F7No\u00F793
Yawar Abbas Bangash\u00F7Yes\u00F794
Tauseef Rana\u00F7No\u00F794
Haider Abbas\u00F7No\u00F794
Muhammad Ali Imran\u00F7No\u00F794
Adnan Ahmed Khan\u00F7No\u00F794
Debajyoty Banik\u00F7Yes\u00F795
Asif Ekbal\u00F7No\u00F795
Pushpak Bhattacharyya\u00F7No\u00F795
Guanghai Bao\u00F7Yes\u00F796
Run Jiang\u00F7No\u00F796
Dejun Liu\u00F7No\u00F796
Subhas Barman\u00F7Yes\u00F797
Hubert P. H. Shum\u00F7No\u00F797
Samiran Chattopadhyay\u00F7No\u00F797
Debasis Samanta\u00F7No\u00F797
Syed Khairul Bashar\u00F7Yes\u00F798
Yeon-Sik Noh\u00F7No\u00F798
Allan J. Walkey\u00F7No\u00F798
David D. McManus\u00F7No\u00F798
Ki H. Chon\u00F7No\u00F798
Juan Manuel Rodriguez Bejarano\u00F7Yes\u00F799
Carlos Miguel\u00F7No\u00F799
Francisco Javier Ruiz Piñar\u00F7No\u00F799
Loza Bekalo\u00F7Yes\u00F7100
Sijie Niu\u00F7No\u00F7100
XiaoJun He\u00F7No\u00F7100
Ping Li\u00F7No\u00F7100
Idowu Paul Okuwobi\u00F7No\u00F7100
Chenchen Yu\u00F7No\u00F7100
Wen Fan\u00F7No\u00F7100
Songtao Yuan\u00F7No\u00F7100
Qiang Chen 0004\u00F7No\u00F7100
Hilal Bello\u00F7Yes\u00F7101
Xin Jian\u00F7No\u00F7101
Yixiao Wei\u00F7No\u00F7101
Min Chen 0003\u00F7No\u00F7101
Imad Benacer\u00F7Yes\u00F7102
François-Raymond Boyer\u00F7No\u00F7102
Yvon Savaria\u00F7No\u00F7102
Joseph Benzaquen\u00F7Yes\u00F7103
Mohammad B. Shadmand\u00F7No\u00F7103
Behrooz Mirafzal\u00F7No\u00F7103
Lorenzo Bettini\u00F7Yes\u00F7104
Davide Di Ruscio\u00F7No\u00F7104
Ludovico Iovino\u00F7No\u00F7104
Alfonso Pierantonio\u00F7No\u00F7104
Tinish Bhattacharya\u00F7Yes\u00F7105
Sai Li\u00F7No\u00F7105
Yangqi Huang\u00F7No\u00F7105
Wang Kang\u00F7No\u00F7105
Weisheng Zhao\u00F7No\u00F7105
Manan Suri\u00F7No\u00F7105
Qi Bian\u00F7Yes\u00F7106
Brett Nener\u00F7No\u00F7106
Xinmin Wang\u00F7No\u00F7106
Desong Bian\u00F7Yes\u00F7107
Di Shi\u00F7No\u00F7107
Manisa Pipattanasomporn\u00F7No\u00F7107
Murat Kuzlu\u00F7No\u00F7107
Saifur Rahman\u00F7No\u00F7107
Anas Bilal\u00F7Yes\u00F7108
Aimal Rextin\u00F7No\u00F7108
Ahmad Kakakhel\u00F7No\u00F7108
Mehwish Nasim\u00F7No\u00F7108
Nir Billfeld\u00F7Yes\u00F7109
Moshe Kim\u00F7No\u00F7109
Torstein I. Bo\u00F7Yes\u00F7110
Erlend Vaktskjold\u00F7No\u00F7110
Eilif Pedersen\u00F7No\u00F7110
Olve Mo\u00F7No\u00F7110
Mate Boban\u00F7Yes\u00F7111
Diego A. Dupleich\u00F7No\u00F7111
Naveed Iqbal\u00F7No\u00F7111
Jian Luo 0001\u00F7No\u00F7111
Christian Schneider\u00F7No\u00F7111
Robert Müller\u00F7No\u00F7111
Ziming Yu\u00F7No\u00F7111
David Steer\u00F7No\u00F7111
Tommi Jämsä\u00F7No\u00F7111
Jian Li\u00F7No\u00F7111
Reiner S. Thomä\u00F7No\u00F7111
Denton Bobeldyk\u00F7Yes\u00F7112
Arun Ross\u00F7No\u00F7112
Shahin Boluki\u00F7Yes\u00F7113
Xiaoning Qian\u00F7No\u00F7113
Edward R. Dougherty\u00F7No\u00F7113
Lorenzo Bottaccioli\u00F7Yes\u00F7114
Santa Di Cataldo\u00F7No\u00F7114
Andrea Acquaviva\u00F7No\u00F7114
Edoardo Patti\u00F7No\u00F7114
Alexandros-Apostolos A. Boulogeorgos\u00F7Yes\u00F7115
Evangelos N. Papasotiriou\u00F7No\u00F7115
Angeliki Alexiou\u00F7No\u00F7115
Sami Bourouis\u00F7Yes\u00F7116
Atef Zaguia\u00F7No\u00F7116
Nizar Bouguila\u00F7No\u00F7116
Roobaea Alroobaea\u00F7No\u00F7116
Antonio Bracale\u00F7Yes\u00F7117
Pierluigi Caramia\u00F7No\u00F7117
Pasquale De Falco\u00F7No\u00F7117
Andrea Michiorri\u00F7No\u00F7117
Angela Russo\u00F7No\u00F7117
Victoria Gomez-Guillamon Buendia\u00F7Yes\u00F7118
Symon K. Podilchak\u00F7No\u00F7118
Davide Comite\u00F7No\u00F7118
Paolo Baccarelli\u00F7No\u00F7118
Paolo Burghignoli\u00F7No\u00F7118
Jose Luis Gomez-Tornero\u00F7No\u00F7118
George Goussetis\u00F7No\u00F7118
Do Hanh Ngan Bui\u00F7Yes\u00F7119
Tan-Phu Vuong\u00F7No\u00F7119
Jacques Verdier\u00F7No\u00F7119
Bruno Allard\u00F7No\u00F7119
Philippe Benech\u00F7No\u00F7119
Mateusz Burtowy\u00F7Yes\u00F7120
Mateusz Rzymowski\u00F7No\u00F7120
Lukasz Kulas\u00F7No\u00F7120
Egle Butkeviciute\u00F7Yes\u00F7121
Liepa Bikulciené\u00F7No\u00F7121
Tatjana Sidekerskiene\u00F7No\u00F7121
Tomas Blazauskas\u00F7No\u00F7121
Rytis Maskeliunas\u00F7No\u00F7121
Robertas Damasevicius\u00F7No\u00F7121
Wei Wei\u00F7No\u00F7121
Gangil Byun\u00F7Yes\u00F7122
Jun Hur\u00F7No\u00F7122
Seung-Seok Kang\u00F7No\u00F7122
Seok Bo Son\u00F7No\u00F7122
Hosung Choo\u00F7No\u00F7122
Jie Cai\u00F7Yes\u00F7123
Han Jiang\u00F7No\u00F7123
Pingyuan Zhang\u00F7No\u00F7123
Zhihua Zheng\u00F7No\u00F7123
Guangshi Lyu\u00F7No\u00F7123
Qiuliang Xu\u00F7No\u00F7123
Hongbin Cai\u00F7Yes\u00F7124
Ping Li\u00F7No\u00F7124
Chengli Su\u00F7No\u00F7124
Jiangtao Cao\u00F7No\u00F7124
Xulin Cai\u00F7Yes\u00F7125
Jian Shu\u00F7No\u00F7125
Manar Al-Kali\u00F7No\u00F7125
Jian-Ping Cai\u00F7Yes\u00F7126
Rui Yu\u00F7No\u00F7126
Qiuzhen Yan\u00F7No\u00F7126
Congli Mei\u00F7No\u00F7126
Lujuan Shen\u00F7No\u00F7126
Jian-Ping Cai\u00F7Yes\u00F7127
Rui Yu\u00F7No\u00F7127
Qiuzhen Yan\u00F7No\u00F7127
Congli Mei\u00F7No\u00F7127
Bin-Rui Wang\u00F7No\u00F7127
Lujuan Shen\u00F7No\u00F7127
Xiaoyan Cai\u00F7Yes\u00F7128
Yu Zheng\u00F7No\u00F7128
Libin Yang\u00F7No\u00F7128
Tao Dai\u00F7No\u00F7128
Lantian Guo\u00F7No\u00F7128
Mario Canul\u00F7Yes\u00F7129
Rogelio Hasimoto-Beltrán\u00F7No\u00F7129
Diego Jimenez-Badillo\u00F7No\u00F7129
Salvador Ruiz-Correa\u00F7No\u00F7129
Edgar Roman-Rangel\u00F7No\u00F7129
Menglong Cao\u00F7Yes\u00F7130
Zidong Ai\u00F7No\u00F7130
Yangjie Cao\u00F7Yes\u00F7131
Li-Li Jia\u00F7No\u00F7131
Yong-Xia Chen\u00F7No\u00F7131
Nan Lin\u00F7No\u00F7131
Cong Yang\u00F7No\u00F7131
Bo Zhang\u00F7No\u00F7131
Zhi Liu\u00F7No\u00F7131
Xue-Xiang Li\u00F7No\u00F7131
Honghua Dai\u00F7No\u00F7131
Xinhua Cao\u00F7Yes\u00F7132
Taihao Li\u00F7No\u00F7132
Hongli Li\u00F7No\u00F7132
Shunren Xia\u00F7No\u00F7132
Fuji Ren\u00F7No\u00F7132
Ye Sun\u00F7No\u00F7132
Xiaoyin Xu\u00F7No\u00F7132
Dun Cao\u00F7Yes\u00F7133
Yonghe Liu\u00F7No\u00F7133
Xiaomin Ma\u00F7No\u00F7133
Jin Wang\u00F7No\u00F7133
Baofeng Ji\u00F7No\u00F7133
Chunhai Feng\u00F7No\u00F7133
Jinxiu Si\u00F7No\u00F7133
Wanke Cao\u00F7Yes\u00F7134
Yingshuang Wu\u00F7No\u00F7134
Enfei Zhou\u00F7No\u00F7134
Jianwei Li\u00F7No\u00F7134
Jizhi Liu\u00F7No\u00F7134
Mauro G. Carignano\u00F7Yes\u00F7135
Vicente Roda\u00F7No\u00F7135
Ramon Costa-Castelló\u00F7No\u00F7135
Luis Valino\u00F7No\u00F7135
Antonio Lozano\u00F7No\u00F7135
Felix Barreras\u00F7No\u00F7135
Jose Gerardo Carrillo-Gonzalez\u00F7Yes\u00F7136
Jacobo Sandoval-Gutierrez\u00F7No\u00F7136
Francisco Perez-Martinez\u00F7No\u00F7136
Roberto Casado-Vara\u00F7Yes\u00F7137
Paulo Novais\u00F7No\u00F7137
Ana Belén Gil\u00F7No\u00F7137
Javier Prieto\u00F7No\u00F7137
Juan Manuel Corchado\u00F7No\u00F7137
Alvaro Garzon Casado\u00F7Yes\u00F7138
Pablo Cano Marchal\u00F7No\u00F7138
Juan Gómez Ortega\u00F7No\u00F7138
Javier Gámez García\u00F7No\u00F7138
Sandra Catalán\u00F7Yes\u00F7139
José R. Herrero\u00F7No\u00F7139
Enrique S. Quintana-Ortí\u00F7No\u00F7139
Rafael Rodríguez-Sánchez\u00F7No\u00F7139
Robert A. van de Geijn\u00F7No\u00F7139
Philip A. Catherwood\u00F7Yes\u00F7140
Brendan Black\u00F7No\u00F7140
Ebrahim Bedeer\u00F7No\u00F7140
Adnan Ahmad Cheema\u00F7No\u00F7140
Joseph Rafferty\u00F7No\u00F7140
James A. D. McLaughlin\u00F7No\u00F7140
ZhengYi Chai\u00F7Yes\u00F7141
Ya-Lun Li\u00F7No\u00F7141
Yamin Han\u00F7No\u00F7141
Si-Feng Zhu\u00F7No\u00F7141
Miguel Morales Chan\u00F7Yes\u00F7142
Roberto Barchino Plata\u00F7No\u00F7142
José-Amelio Medina\u00F7No\u00F7142
Carlos Alario-Hoyos\u00F7No\u00F7142
Rocael Hernández Rizzardini\u00F7No\u00F7142
Jing Chang\u00F7Yes\u00F7143
Jin Sha\u00F7No\u00F7143
Yuchao Chang\u00F7Yes\u00F7144
Xiaobing Yuan\u00F7No\u00F7144
Baoqing Li\u00F7No\u00F7144
Dusit Niyato\u00F7No\u00F7144
Naofal Al-Dhahir\u00F7No\u00F7144
Jenhui Chen\u00F7Yes\u00F7145
Ashu Abdul\u00F7No\u00F7145
Peiyao Chen\u00F7Yes\u00F7146
Baoming Bai\u00F7No\u00F7146
Zhaofeng Ren\u00F7No\u00F7146
Jiaqing Wang\u00F7No\u00F7146
Shaohui Sun\u00F7No\u00F7146
Chun-Hao Chen\u00F7Yes\u00F7147
Yu-Hsuan Chen\u00F7No\u00F7147
Jerry Chun-Wei Lin\u00F7No\u00F7147
Mu-En Wu\u00F7No\u00F7147
Yong Chen\u00F7Yes\u00F7148
Sizhong Chen\u00F7No\u00F7148
Yuzhuang Zhao\u00F7No\u00F7148
Zepeng Gao\u00F7No\u00F7148
Changlong Li\u00F7No\u00F7148
Chen Chen\u00F7Yes\u00F7149
Umar Dilshad\u00F7No\u00F7149
Ghulam Mehdi\u00F7No\u00F7149
Chao Wang 0009\u00F7No\u00F7149
Anyong Hu\u00F7No\u00F7149
Jungang Miao\u00F7No\u00F7149
Peng Chen 0008\u00F7Yes\u00F7150
Baojin Ding\u00F7No\u00F7150
Haixia Wang\u00F7No\u00F7150
Ronghua Liang\u00F7No\u00F7150
Yilong Zhang\u00F7No\u00F7150
