:START_ID(Author);:END_ID(Articles)
Xavier Cetó;8959
Claudio Schifanella;15119
Guoli Ji;4361
Yanfei Yang;19617
Tasos Dagiuklas;8162
Malik Tahir Hassan;4661
Shili Liang;7728
Pengcheng Shen;12616
Chih-Ting Kuo;4347
Jian Yang 0003;3112
Volkmar Muller;9762
Majid Janidarmian;3111
Chase Qishi Wu;5408
Nasreen Badruddin;680
Mahdi Zareei;6669
Muhammad Aslam;2524
Carlos Ferreira;3312
Derong Liu;4958
Zili He;6126
Lin Jiang;2812
Kazuaki Sawada;10348
Faisal Bashir;18691
Xueying Hou;12654
Yongxia Guo;16087
Xuhua Shi;11079
Maicol F. de Melo;12562
Robert Caiming Qiu;19753
Padraig Corcoran;4353
Sylvain Finet;3905
André Anjos;4971
Aiqiang Pan;735
Ibtisam A. Abbas Al-Darkazly;13982
Georges Matar;17860
Chun-mei Dong;5049
Jing Liu 0014;7466
Hui Hwang Goh;18524
Stephane Evoy;18246
Wei Dong 0004;5970
Jing Qin;7053
Md. Obaidur Rahman;11794
Johan Östman;3433
Yousif A. Dama;15626
Wei Han;17746
Tingting Zheng;10035
Sainan Yang;18198
José-Fernán Martínez-Ortega;9523
Jongman Cho;11733
Zeng-Shun Chen;5698
Xiaojing Yin;6457
Reyes Pavón;13985
Kyeong-Hwa Kim;5473
Alexey A. Moiseev;12963
Jochen G. Schneider;19860
Ali Ali Saged;13327
Zixiao Zhang;17511
Sheharyar;19349
Victor F. Muñoz-Martínez;14967
M. Shaikh;19192
Vesna Crnojevic-Bengin;18216
Jia Sun;4200
Zhijun Zhang 0003;432
Jie Yang 0027;4916
Jordi Espina;7375
Andrzej Bialas;9852
Hao Sun 0007;11363
Alex Arsenovic;11872
Josep Samitier;18590
Stjepan Stipetic;865
Karen Avila;2684
Huiren Xu;19631
Brian G. Stewart;9903
Ronghua Liang;6614
Jae-Yeal Nam;16698
David S. Ricketts;2277
Dani Martínez;13012
Hoang Anh Ngo;4168
Saad B. Qaisar;1424
Jaekwang Nam;4446
Saet Byeol Park;9492
Farzane Fallahati;6945
Yufeng Li;4249
Yun Wei Li;4694
Joachim N. Burghartz;16682
Zhongzhou Du;11489
Michael Schaefer;6960
Hao Wu 0006;2789
Arnab Ghosh;236
Hee Young Chae;8242
Jong-Hwan Kim 0003;19716
Feilong Cao;15928
Pedro Jose Dos Santos Neto;3793
Fatima Shoaib;6343
Fei Ji;2997
Antonio Cataliotti;17089
Yankui Sun;8314
Antonio José Moreno;12889
Mark Yampolskiy;3443
John D. Garrett;10541
Olivia Lesne;16852
Joris van der Hoeven;1204
David Akopian;5976
Aroh Barjatya;2332
Giorgio Graditi;13316
Wolfgang A. Halang;9494
Pengfei Chai;1655
Hong Guo;15431
Shih-Huan Chien;1848
Amalia Beatriz Orúe López;18815
Manuel Gil;4971
Dacheng Cong;5712
Amir Altaf;12680
Suji Choi;3112
Carolina Vitti;16076
Narsa Reddy Tummuru;12761
Chengyan Jia;7570
Yiying Zhao;1446
Xin Guan;16422
Mohammad Siraj;1405
Meiling Zhu;7636
Amjad Khan;16023
Yongjun Zheng;3294
Kijoon Chae;9960
Gourinath Banda;17770
Steve Tyerman;8037
Xulin Cai;2504
Federico Caselli;13182
Chitra Dadkhah;5390
Jianan Bai;16510
Anyanee Kamkaew;1464
Noboru Niguchi;8928
Qing Zhu;15373
Azizol Abdullah;11424
Jee-Hoon Jung;4443
Jae Hwan Jee;3366
Rafael Díez;11708
Isaac Perez-Andrade;1209
Hossein Hassani;7717
Xuejun Yue;13717
Nicola Bianchi;3927
Johan Freulard;1475
Junfeng Xu;16151
David Xu;14262
Kasper Claes;943
José Joaquín Escudero Garzás;9106
Xiaorui Zhu;17867
Roy V. Sillitoe;2888
Lan Liu;10904
Aimin Xu;5931
Zhenhui Du;3133
Jin-Hyoung Park;16488
Branislav Hredzak;3323
Jiexin Lai;16032
Anbo Le;18441
Xiaoping Mao;7857
Erik Cuevas;9627
Guru Raghav Raman;9867
Chengshan Qian;18632
Kyu-Hoon Park;414
Juan C. Fraile;2546
Ming Chen 0001;14233
Daping Chu;10894
Shuxia Jiang;9691
Bo Dang;3614
R. Dierken;8589
Hee-Seok Moon;17933
Bongsoo Jang;8649
Xiangling Li;18908
Tatiana Sakharova;5992
Wen-Jin Lin;17680
Kee-Young Yoo;6734
Raghunathan Rengaswamy;4345
Ahmad M. Alshamrani;15925
Tailai Wen;2917
Lu Wang;3701
Vahid Ghorbanian;14660
Francesco Fabbrocino;6709
Basima Abu Rumaila;3867
Zhencheng Hu;4779
Xiaoxuan Chen;16346
Bangcheng Zhang;12011
Songfa Xie;18559
Rafael Muñoz-Terol;3715
WoongJe Sung;16026
Xing Zhao;13885
Turki A. Alghamdi;2700
Jason Blankenship;11692
Kangho Kim;11949
Songlin Wang;13930
La Jiang;7653
Ammar Kouki;1379
Ahmad Ale Ahmad;12334
Qiangqiang Ouyang;15649
Mirmojtaba Gharibi;10915
Muhammad Imran Khan 0005;6207
Qingyi Hua;10441
Victoria A. Briand;11704
Hui Chen;1477
Clement Mayet;11422
Shu-Wei Jia;204
Marta Eunice Calderón Campos;18720
Sasa Cirkovic;18943
Sai Huang;11959
Ping Guo;10179
Pankaj Kumar Sa;10417
Jingkun Chang;9481
Lorenzo Cintioni;14820
Dario Cazzoli;8759
Linyun Xiong;7076
Akio Toshimitsu;18623
Jingdun Jia;16226
Médéric Loyez;2639
Ashray A. Doshi;773
Junfeng Xiong;278
Zuopeng (Justin) Zhang;3775
Song Li;1222
Vishwanath Pooneeth;13514
Soo Chul Lim;3343
Pierre Peloso;235
Hieu Trong Dao;13372
S. Dhamayanthi;18425
Guiling Deng;19090
Senping Tian;837
Peter Czermak;15787
Osama A. Mohammed;18975
Lei Feng;18894
Weihua Liang;15017
Khai D. T. Ngo;16666
Anderson Clayton Alves Nascimento;5421
Miguel Ángel Prada-Delgado;623
Gonzalo Seco-Granados;16250
Lubos Streit;18951
Miguel Pimienta;18888
Yuexin Yang;160
Udaya Parampalli;2258
Armin Bijanzad;6998
Joon Sung Park;2422
Xianyong Xu;17221
Zeyang Dou;18369
Chankil Lee;647
David Ribas;10120
Waleed Alsanie;15372
Mohammad Hosein Holakooie;11702
Melitta Kitzwögerer;1896
Ahmed Alkhayyat;15786
Qixin He;5872
Jose Alfonso Antonino-Daviu;16170
Divyesh Ginoya;6866
Pieter D&apos;haese;1182
Cory L. Howk;18564
Fernando O. Souza;9578
Huifang Chen;15361
Ayse Nur Önem;3165
Hongjian You;3564
Moayad Aloqaily;9676
Mehrez Zribi;9371
Hyun Jin Park;12282
Manuel Ornelas-Rodriguez;17468
Jun Wang 0026;3921
Valerio Salis;13147
Zhouzheng Gao;188
Yoonsik Bang;6285
In Jung Won;19807
Andrew D. Maxwell;648
Qing-Wei Meng;10910
Ivana Dusparic;4978
Juan Manuel Gutiérrez-Salgado;6196
Mavlavi Dustov;12498
Yaguo Lei;17495
Qingchun Liu;3658
Judith M. Apsley;16603
Yubo Yan;7292
Qingchao Zhao;1698
Yi-Rong Wu;29
Fahad Alswaina;9839
Robin Augustine;7939
Debaprasad Kastha;10835
Amjad Gawanmeh;6846
Mojtaba Fardi;16624
Linling Tang;14119
Sivaji Chakravorti;7738
Xinming Huang 0001;16779
Moonki Hong;16432
Octavian G. Mustafa;19456
Minsu Shin;9505
Shanshan Lin;18116
Yun Liu 0006;6256
Louis-Marie Saublet;18414
Xiangnan He 0001;7305
René Osorio;9669
Andrea Gigli;10795
Niancai Peng;9281
Xianze Xu;13650
Namik Yilmaz;19634
Cong Wang 0007;10183
Zhangping Ji;9888
Daniel Grajales García;19213
Polipalli Trinatha Rao;17050
Syed Waqar Shah;14202
Zoltán Varga;10649
Przemyslaw Cwik;799
Chao Zhang 0016;9826
Juan Carmona;16405
Tingting Shen;18331
Christoph Hoog Antink;4909
Chun-mei Dong;1494
Samad Ali;3095
Anbo Le;4774
Dong-Choon Lee;8315
Chien-Hsun Chu;13296
Hugo O. Garces;9980
Angel Borrell;19874
Jiadeng Zhu;17108
Debbie Lovato;723
Andreas Looser;14528
Alberto Bellini;4269
Jun Liu 0026;14747
Fei Kong;2704
Jorge Sá Silva;5026
Hua-Qin Pan;9033
Zhipeng Wang;2085
Junhee Kim;1914
Taejung Kim;1500
So Ra Cho;12602
Luchun Yan;9107
Pablo González de Santos;18431
Samir A. Rawashdeh;8074
Yuki Todo;2490
Chao Deng;9487
Eddie C. M. Hui;12776
Saverio Delpriori;1263
Shengyao Chen;2239
Joon-Hyuk Chang;3423
Renxian Cao;12987
Christoph Holst;12863
Yangxin Yao;10931
Mahdi Zareei;2744
Neeraj Kumar 0001;4089
Ching-Chun Chang;12927
Ashkan Ghanbarzadeh Dagheyan;4093
Chris Bishop;10923
Zhiwen Xian;18267
Sikandar Ali;790
Menglan Hu;3529
Chengke Wang;1872
Zhipeng Li;2868
Paul Fortier;13674
Muhamad Taufik Abdullah;8339
Anthony Hyde;1142
Kiran Dasari;12032
Ali A. Alsama;10136
Wenda Bi;2301
Dariusz Kacprzak;14816
Md. Asif-Ur-Rahman;3655
Korhan Cengiz;19580
Dominique Tournier;14544
Su Hu;14841
Jingxuan Sun;3022
Yana Zheng;12865
Jooyoung Oh;2086
Heewon Park;1344
Pu Chen;14815
Matteo Sorci;6386
Hao Huang;9077
Zheng Chen 0004;9967
Jesús Cardesín Miranda;10627
Sergio Palazzo;400
Johannes Buchmann 0001;5400
Iyad Husni Alshami;19265
Dehua Li;5971
Shiyou Yang;1667
Fan Yang 0019;13123
Josep Pou;16656
Ho Jin Ju;8499
Doo Seop Eom;15268
Tao Li;8401
Shuming Zhang;7663
Shaoning Li;6336
Weiwu Yan;14066
Jari Honkanen;111
Dapeng Oliver Wu;18407
Tuleen Boutaleb;6915
Chunlian Cen;11946
Vincent Liebart;18543
Costantino Citro;18601
Zengqiang Chen;19130
Mari Ostendorf;19692
Fanyu Hu;11436
Kuan-Ta Chen;8460
Adam Pilat;1426
Johan Freulard;17778
Ahmad Suliman;11853
Zhifeng Hao;7869
Harkaran Singh;7965
Oriol Guasch;11532
Jisun Lee;15378
Shun-Chung Wang;18905
Jon-Lark Kim;1569
Adil Wahid Butt;13512
Jian Hou;10995
Luye Mu;19157
Yanhao Wang;18155
Vladimir Kostic;18962
Christoph Jahn;10570
Alessandro Garbo;13627
Zhi Kong;2007
Weimin Jin;12627
Van-Dung Hoang;19724
Weichen Liu;19118
Xianbao Duan;14362
Zhetao Li;8913
Iyad F. Jafar;2859
Ansgar Kellner;17484
Francesco Riganti Fulginei;16278
Bruno Van de Velde;12061
Aqdas Naveed Malik;16351
Thijs Willem Swinnen;3770
Jan Rohac;10505
Stephen P. Morgan;5125
Abdelhakim Hafid;3595
Zhenglin Liu;7504
Yalin Wang 0003;10192
Saumya Joshi;2000
Liang Liang 0002;10513
Jiake Li;16986
Md. Zia Uddin;6994
Yihang Du;11957
Yu Lei;19523
Ghulam M. Bhatti;1875
Yibo Chen;6603
Sotiris Ioannidis;8010
Ning An;9349
Ming-Chun Tang;18637
Na Han;19910
Mayukh Bhattacharyya;16304
PengJun Yao;19886
Stelios Andreadis;924
Héctor Montes;2542
Wenshan Hu;12292
Vahid Ghorbanian;15095
Iván Froiz-Míguez;16762
Hossein Madadi;4930
Yan Han;4936
Guang Shi;11523
Yinghua Huang;13696
Sami Hlioui;15317
Pingyi Fan;3527
Jorge Linares;5098
Yueshi Guan;11684
F. Richard Yu;13024
Shecheng Gao;2538
Guangzhu Chen;7901
Zhihui Fu;12238
Lauren Deanes;5766
Xu Chen 0004;3761
Lian Cui;5857
Elli Kartsakli;2740
Yibing Chen;13620
Cheng-Chih Hsu;3183
Yandong Chu;109
Mohammad Salehi;13779
Junjun Deng;8309
Emad S. Abouel Nasr;1476
César Vargas Rosales;6591
Xianlong Jiao;2665
V. Pasialis;17599
Xiangyu Zhang 0004;13901
Ami Hannon;1452
Yoongeon Lee;14500
Ning Nie;15310
Xuefeng Chen;8296
Marko Hocevar;14701
Yi Hong 0001;16424
Guglielmo Cola;11257
Tingting Gang;11188
Mario A. Gonzalez;8320
Jiejing Bai;248
Akash Deep;4827
Emilia Fridman;15040
Seung Hwan Won;12987
Huaqing Li 0001;10068
Manuel Castillo-Cara;6200
Hailian Xiao;11333
Taejoon Kim;2261
Ralph P. Tatam;8462
Elías Berriochoa;3277
Wenfei Guo;1303
Xiang Li 0009;4450
Shoujun Xu;16795
André Mende;12158
Michel Gerboles;4086
Chuan-Tao Zheng;18869
Youngsook Lee;1231
Michael Goul;13299
Ke Cheng;16311
Dejan Vukobratovic;13044
Dehui Sun;14782
Giancarlo Mantovani;9490
Syed Mohammad Asim;4327
Kwangyong Lim;3775
Ashutosh Dhar Dwivedi;13937
Ingelin Clausen;18176
Chien-Hsing Chou;6782
Sanjeevikumar Padmanaban;19111
Lado Filipovic;8753
Virginia Saez-Martinez;4756
Justin Ting;18379
Dechang Pi;5847
John S. Gibson;15010
Jyh-Horng Wu;1193
Francesco Cupertino;12836
Mohammad Shakouhi;16063
Keerthiga Naidu;10072
Tomás Koudelka;12964
Dacheng Cong;10430
Nathali Silva;19513
Romen Rodriguez-Trujillo;638
Md Omar Faruk Emon;4591
Young-June Choi;15266
Chin-Sheng Chen;5979
Hui Zhu;12917
Ge Wang 0001;3683
Marcus J. Schultz;6794
Kailei Xue;13377
Ye Hua;5263
Fang Gao;11941
Muhammad Hilmi Kamarudin;8978
Minglong Lei;7695
Francisco Vegara;4196
Tiago Jorge Rocha;1207
Hoach The Nguyen;15083
Qiuling Huang;14678
Nicholas Assimakis;8585
Xiaolin Wang;19712
Xiaobo Wang;5027
Tejeddine Mouelhi;15764
Ruicong Han;14008
Khalid Abidi;1110
Ching-Pei Chen;2132
James Brinkhoff;10266
Md. Mahmud Hossain;18492
Masoumeh Karimi;14915
Zhongzheng Lin;10077
Zhinong Jiang;5645
Luis Javier García-Villalba;10462
Xinchen Lyu;13169
Bihai Zhao;4653
Chun-Chi Chen;11313
Xiaoxiao Dong;10734
Fabio Dovis;11783
Zhengchun Zhou;1325
Shan Li 0002;18405
Vadim M. Agafonov;3272
Daniel Arvidsson;12640
Lijun Long;13548
Bartlomiej Ufnalski;849
Ying Cao;16969
Eduardo Perondi;17698
Imran Ali;13078
Gerardo Beruvides;18020
Miroslaw Jablonski;4255
Yuping Duan;17073
Joaquín Ballesteros;9159
Bach Phi Duong;18249
Fowotade Sulayman Akanbi;6128
Mauro Saccone;11009
Paul Delgado;4473
Xiuqin Pan;8305
Yuelin Gao;12409
Yonghun Kim;18523
Xiangyu Wang 0005;14957
Subhradeep Chakraborty;9078
Zhiguo Gui;13033
Jose E. Castillo-Aguilella;1003
Yedige Tlegenov;6712
Wei-Po Lee;14498
Ashish Dutt;3403
Serdar Çakir;15307
Heechai Kang;7105
Faustino Wahaia;8359
J. Daniel Park;765
Daniela Becker;7732
Fazlullah Khan;7882
Hongyuan Zha;14835
Michael Stock;11822
Rosario Iemmolo;10986
Yuan-Kai Wang;1603
César San-Martín;9779
Florica Moldoveanu;4777
Yun Fu;12025
Dariusz Grabowski;14004
Muhammad Sajjad Khan;7199
Ana Garrido-Varo;19244
K. Alnowibet;9383
Bin Chen 0013;16040
Junehwa Song;12357
Wei Zhang 0075;18542
Noha Anous;14709
Predrag S. Stanimirovic;7040
Adam Kostelnik;14366
Shanyu Tang;1668
Mingjun Deng;19323
Daniel L. Marks;51
Jin Gou;2970
Yeow-Khiang Chia;13412
Xiaoxiang Hu;15603
Sivaram Nishal Ramadas;16077
Hui Qi;12129
Zewei Zheng;14600
Stefano Aliani;4647
Mohammad Mehravar;7624
M. Selim Ünlü;13438
Joonas Puukko;11460
Jorge C. S. Cardoso;18089
Joong-Ho Song;1583
Mohsen Aleenejad;2662
Saman Saki;9736
Francisco José da Silva e Silva;12283
Dongkyoo Shin;5260
Muhammad Riaz;9735
Attilio Vaccaro;18299
Saoussen Krichen;19616
Evgenia F. Adamopoulou;4754
Pouria Aryan;8529
S. Sreenivasa Murthy;5005
Pan Zhang;12864
Grzegorz Gabor;14442
Jieyu Qian;11853
Takeshi Eda;18087
Ziqiang Zhang;4583
Omar Harib;2188
Yifan Chen;3687
Sewan Choi;12770
Luis Miguel Bergasa;10824
Michael Th. Rassias;2714
Pinku Ranjan;12291
Reza Yazdanpanah;1013
Vincent Verdot;2354
Md. Rafiqul Islam;17276
Liao Wu;2106
Mengya Sun;7477
Wei-Guo Ni;6342
Vinod Achutavarrier Prasad;102
Eric Lefevre;16798
Alicia Rodriguez-Carrion;18166
Leong Kit Gan;343
Nefeli Tsiara;2452
Chiara Boccaletti;4126
Yanjuan Geng;9538
Shuangzhi Li;1690
Azeddine Bilami;11526
Ahamad Tajudin Abdul Khader;10517
Sibin Mohan;9999
Chengxiong Mao;4142
Naiyuan Liu;17509
Roozbeh Hushiarian;18377
Najah Abed Abuali;7455
Biao Zhang 0001;1636
Lina Altoaimy;5117
Francisco José Heredia;9195
Raimir Holanda Filho;9433
Lyudmila Mihaylova;7536
Ziyan Ju;3327
Xiaoguang Mei;19473
Sara Canning;10929
Stephen Wales;19436
Deyu Zhao;17743
Gihwan Cho;110
Jian Huang 0001;5862
Guangsheng Cao;10784
Hua Shao;16486
Shashi Bhuckory;6568
Guilherme de Azevedo e Melo;3186
Lianjie Ma;15368
Tetiana Bogodorova;7440
Chuanlai Xu;18894
Yuji Matsuura;9333
Han Chen;4335
Gaizka Durana;2009
Luís Augusto Motta Mello;7973
Paul J. McCullagh;2605
Jieke Yao;6985
Dandan Zhang;9065
Fitri Indra Indikawati;1326
Eugenia Kumacheva;8872
Dongdong Zhang;14444
António J. Marques Cardoso;33
Paolo Emilio Ricci;16588
Yang Li 0011;5142
Emre Unal;16368
Zhixiang He;3766
Zu-Zhen Huang;5440
Jiemin Liu;6388
Jung-Hwa Wui;1769
Guangwei Meng;10383
Andrés Tomás;3275
Chen-Chia Chen;3213
Tai-Ping Sun;3010
Philip Jacob;14658
Raquel Acero;6999
Zhuoxuan Shen;9743
Feng Chen;19381
Satish Saluja;1054
Qiang Ma 0004;10941
David Espalin;7385
Vincenzo Mazzaracchio;1114
Nutapong Somjit;19138
Yong Xiang 0001;17282
Hazem M. Hajj;10704
Jussi Karttunen;12177
Claudio Carretero;7938
Jun Zuo;3633
Ana Cisnal;6952
Jinse Park;282
Guohun Zhu;14062
Ung-Mo Kim;10426
Ronghui Wang;10896
Fabrizio Lombardi;18434
Tomoki Nakata;18324
Gerd Wessolek;3509
Muhammad Imran Razzak;9826
Danut-Constantin Irimia;3787
Jeffrey T. Fong;9566
Valerio Salis;6206
Satoshi Ichikawa;13090
Sihan Liu;1074
Zhipeng Chen;847
Rajat Koner;5722
Miseon Han;17037
Tommaso Campanella;14542
Young-Sik Jeong;315
Tian Liang Guo;7233
Dongsheng Yang;904
Gang Liu;3305
Pierre-Michel Adam;19475
Yi Hong 0001;15627
Ruhul A. Sarker;3578
Wenxiang Deng;9729
Kyung-Young Jung;14137
Heejin Lee;3475
Longquan Jiang;14360
Gabriel Galindo-Romera;1567
Yusuke Tsukatani;19025
Kristof Major;8686
David Mark Stoneham;17373
Jiachen Li;1176
Prayag Tiwari;12387
Andri Ilchenko;11508
Nori M. Al-Kharasani;18198
Ningbo Zhang;4481
Sung Hyun Kim;9863
Xuechao Duan;8265
Roque Calvo;15180
Hans Jürgen Mattausch;19289
Tim Wilkin;1266
J. M. Hossain;12030
Wang Mao;4793
Soyoung Kwon;12926
Hangyu Li;9525
Martine Lienard;6822
Selcuk Bassoy;3339
Ahmed S. Abdelrahman;9822
Wenping Qin;5890
Mojgan Daneshmand;6253
Samantha M. Grist;17149
Yanguang Sunny Yu;16475
Justyna Wiland-Szymanska;10567
Yung-Wen Tang;5208
Jean-Pierre Barbot;4429
Shengdao Zhu;10774
Wei Huang 0009;6002
Aránzazu Gila Arrondo;17580
Shailendra Kumar Sharma;2094
Haoxi Cong;17418
Mauro Tortonesi;12094
Seung-Wan Kim;8367
Fangfang Zhou;17279
Steven Y. Liang;19188
Justin M. Bradley;18221
Emre Ozkop;11302
Toshiyuki Takada;15938
Samuele Gasparrini;11231
Detlef Scholle;18065
Sotiris Ioannidis;5659
Roy V. Sillitoe;19325
Patricia A. Beddows;3422
Caifen Fu;734
Abul Doulah;1633
José M. Pingarrón;14618
Mana Yazdani;1727
Philipp Büttner;8627
Liang Xi Pang;16243
Hyoun Jin Kim;2946
Ritesh Kumar Keshri;1940
Lei Chen 0001;12321
Jiaqi Wang;6829
Luc Martens;9225
Jinbae Lee;17660
Saúl E. Pomares Hernández;16446
Dora Domajnko;3955
Michal Krátký;12257
Maiying Zhong;17774
Yong Cheol Kang;2067
Philippe Deliot;9011
Bin Jiang 0002;17466
Jie Tang;6033
Renjie Huang;11137
Philippe Benech;11012
Jayanta Datta;7848
Tatsuo Arai;7572
Fabio Zottele;16548
Pengcheng Li;3851
Jinpeng Yu;1203
Gianluca Setti;8205
Yanling Shi;13210
Mauro Zigliotto;7973
Shi-Uk Chung;2220
Yanming Wu;15044
Dongsheng Brian Ma;508
Jinliang Shao;15745
Xiaoliang Zhou;9421
Qingqing Dang;660
He Jiang;18018
Maurice Kwakkernaat;8934
Alberto Belli;17488
Yusuke Murase;16895
Elaheh Yadegaridehkordi;11705
Aschalew Kassu;12078
Ibrahim A. Hemadeh;17988
Jianwei Hu;1865
Li Gu;12388
Gaia Mattei;17354
Aiiad Ahmad Albeshri;11547
Miloslav Feistauer;15465
Guangjie Han;727
Afaz Uddin Ahmed;10150
Ajmal Hinas;9127
Yipeng Ding;17539
Radu Grosu;12434
Matthew Glanzer;7078
Gangavarapu Guru Kumar;7645
Zhi-Hua Wang;6020
Konstantinos I. Papadimitriou;15815
A. Abkar;3006
Suviseshamuthu Easter Selvan;8639
Jiguo Dai;14234
Jong-Eon Park;18847
Megumi Kasuno;9625
Naveed Iqbal;9280
Jong-Wook Lee;12709
Robert J. Gillies;14247
Francisco Prats Quilez;1197
Zhiqiang Wang 0002;5581
Panagiotis D. Bamidis;10953
Arun Kumar Paul;5025
Xin Lv;11918
Wenbin Gao;1658
Olav Egeland;12859
Xiuxiu Xi;17492
Beichen Li;16106
Luis Muñoz;18604
Shupei Xiao;5308
Moonki Hong;14761
Po-Jung Tseng;3
Francisco Prats Quilez;19525
Steve Tung;9832
Gennaro Bellizzi;9632
Jin Huang 0005;6500
Mohamed H. Abdelpakey;11884
Taekyun Kim 0001;19157
Bassam Jamil Mohd;16883
Muhammad Asif;19468
Antonio Valdovinos;6773
Nico Bolse;1266
Xuan Hung Mai;15894
Tingqin He;7706
Waseem Asghar Khan;6808
Scott Jordan;18414
Hanseung Lee;4084
Yuri Luchko;18357
Dalal A. Hammood;12619
Zhao Zhang;11420
Birendra Singh;13917
Gui Gao;16901
Jianqiu Mu;13908
Jin S. Lee;1229
Huihui Liu;3418
Xiaoming Zhang;4250
Daniel Su;8266
Jie Li 0019;10717
Ajay Kaul;17404
Claudio Fiandrino;18269
Michele Crispoltoni;3324
Hussain Dawood;12196
Ping Xu;15747
Bin Li;549
Shyong Jian Shyu;19813
Lin Yang;8696
Joaquin Ascorbe;4663
Tianying Chang;2104
Baifeng Chen;9667
Chunjie Zhou;6714
Renato Cifuentes;15561
Masafumi Inaba;16911
Chris S. Edrington;12833
Juan Carlos Soler-Balcazar;1991
Yang-Fu Wang;1555
Atefeh Hajijamali Arani;15349
Yuan Liang;11581
Mariam Abushammala;8793
Vinh-Hao Duong;3755
Jia Zhu;14956
Chul Min Yeum;73
Tse-Mei Lin;13292
Guangzhi Fu;1476
Jie Zeng;19001
Muazzam Maqsood;19701
Akhtar Hussain;8915
Taoqing Zhou;11208
Maria Rosa (Rosy) Mondardini;13422
Tae-Sung Jung;9646
Antonio Gómez;9792
Huy Tuan Huynh;13991
Yunhe Wang;6670
Fengchao Zhu;2528
Felipe J. Gil-Castiñeira;15552
Dongyang Ao;12320
Yiyu Zhou;13822
Sushanta Chakraborty;5389
Sha Zhang;8385
Junfeng Jiang;11178
Mohammad Sedigh Toulabi;19544
Belygona Barare;1393
Fatmir Hetemi;12483
Marco Zorzi;3105
Muhammad Saad Rafaq;4045
Veronica Sberveglieri;7269
Runge Chen;3509
Aitor Villar-Martinez;17698
Philippe Foucher;15513
Yurii Nesterov;15055
Luciano Lavagno;11200
Chi-Yuan Chen;14819
Yuanan Liu;9864
Ming Diao;11848
Huda A. Majid;10201
Guipeng Chen;19632
Samad Ali;5945
Guo Wei;1836
Huijun Gao;5670
James B. Aimone;19007
Hongbo Zhu;1194
Yong Li 0001;144
Juan Manuel Melchor Rodriguez;17677
Xinbo Li;14933
Frédérick Mailly;10780
Moonki Hong;2446
Panagiotis D. Bamidis;19455
Gabriel Torelli;2987
Esmaeil S. Nadimi;5800
Swades De;2372
Ke Cheng;17332
Xiaoou Li;13964
Jing-Yuan Yin;2109
Sajid M. Asif;1271
Shuyu Zhang;5962
David Laukamp;16630
Alexander Pelov;12398
Yifan Yu;5402
Andrea Leonardo Lacaita;11915
Muhammad Shahbaz;4199
Yanjie Wang;9705
Shafiq Ahmad;6777
Pimmy Gandotra;8490
Liisa M. Hirvonen;10885
Marco H. Terra;17588
Eduardo Burguete;1810
Baharin Bin Ahmad;9270
Felipe Gonzalez;6436
Chang Liu;16782
Carlos Ley-Bosch;18138
Kyoung-Jae Lee;3997
Shiv Prakash;1536
Firat Eren;14061
Wonjun Kim;18730
Guo Dan;15817
James Brinkhoff;17568
