:START_ID(Author)	corresponding_author	:END_ID(Article)
Hossam Ali	Yes	47
Gaber Magdy	No	47
Binbin Li	No	47
G. Shabib	No	47
Adel A. Elbaset	No	47
Dianguo Xu	No	47
Yasunori Mitani	No	47
Rashid Ali	Yes	48
Nurullah Shahin	No	48
Yousaf Bin Zikria	No	48
Byung-Seo Kim	No	48
Sung Won Kim	No	48
Khurshed Ali	Yes	49
Chih-Yu Wang 0001	No	49
Yi-Shin Chen	No	49
Alaleh Alivar	Yes	50
Charles Carlson	No	50
Ahmad Suliman	No	50
Steve Warren	No	50
Punit Prakash	No	50
David E. Thompson 0001	No	50
Balasubramaniam Natarajan	No	50
Abduladem Aljamel	Yes	51
Taha Osman	No	51
Giovanni Acampora	No	51
Autilia Vitiello	No	51
Ziqi Zhang	No	51
Abdulaziz Almalaq	Yes	52
Jun Jason Zhang	No	52
Abdulrahman Almuhareb	Yes	53
Waleed Alsanie	No	53
Abdulmohsen Al-Thubaity	No	53
Yousef Alnafisah	Yes	54
Fernando Alonso-Fernandez	Yes	55
Reuben A. Farrugia	No	55
Josef Bigün	No	55
Julian Fiérrez	No	55
Ester Gonzalez-Sosa	No	55
Leticia Alonso-González	Yes	56
Samuel Ver-Hoeye	No	56
Miguel Fernández-García 0001	No	56
Carlos Vazquez Antuna	No	56
Fernando Las-Heras Andrés	No	56
Leticia Alonso-González	Yes	57
Samuel Ver-Hoeye	No	57
Miguel Fernández-García 0001	No	57
Carlos Vazquez Antuna	No	57
Fernando Las-Heras Andrés	No	57
Saud Alotaibi	Yes	58
Yamen Alsaba	Yes	59
Chee Yen Leow	No	59
Sharul Kamal Abdul Rahim	No	59
Yamen Alsaba	Yes	60
Chee Yen Leow	No	60
Sharul Kamal Abdul Rahim	No	60
Amal Alturiman	Yes	61
Maazen Alsabaan	No	61
Alejandro Álvarez-Ayllón	Yes	62
Manuel Palomo-Duarte	No	62
Juan Manuel Dodero	No	62
Joaquin Alvarez-Horcajo	Yes	63
Diego Lopez-Pajares	No	63
Isaías Martinez-Yelmo	No	63
Juan A. Carral	No	63
José M. Arco	No	63
Ahmad Alzahrani	Yes	64
Mehdi Ferdowsi	No	64
Pourya Shamsi	No	64
Syed Umar Amin	Yes	65
M. Shamim Hossain	No	65
Ghulam Muhammad	No	65
Musaed Alhussein	No	65
Mohamed Abdur Rahman	No	65
Arslan Ahmed Amin	Yes	66
Khalid Mahmood-Ul-Hasan	No	66
Zhanfu An	Yes	67
Weihong Deng	No	67
Jiani Hu	No	67
Yaoyao Zhong	No	67
Yuying Zhao	No	67
Jiyao An	Yes	68
Meng Hu	No	68
Li Fu	No	68
Jiawei Zhan	No	68
Hidenao Ando	Yes	69
Yusuke Murase	No	69
Daisuke Anzai	No	69
Jianqing Wang	No	69
Li-Minn Ang	Yes	70
Kah Phooi Seng	No	70
Gerald Ijemaru	No	70
Adamu Murtala Zungeru	No	70
Seyed Mahmoud Anisheh	Yes	71
Hamed Abbasizadeh	No	71
Hossein Shamsi	No	71
Chitra Dadkhah	No	71
Kang-Yoon Lee	No	71
Nasreen Anjum	Yes	72
Zhaohui Yang	No	72
Hadi Saki	No	72
Mehreen Kiran	No	72
Mohammad Shikh-Bahaei	No	72
Waheed Anwar	Yes	73
Imran Sarwar Bajwa	No	73
M. Abbas Choudhary	No	73
Shabana Ramzan	No	73
Muhammad Yeasir Arafat	Yes	74
Sangman Moh	No	74
Estefania Artigao	Yes	75
Angel Sapena-Bano	No	75
Andres Honrubia-Escribano	No	75
Javier Martínez-Román	No	75
Ruben Puche-Panadero	No	75
Emilio Gómez-Lázaro	No	75
Sajid M. Asif	Yes	76
Adnan Iftikhar	No	76
Jared Hansen	No	76
Muhammad Saeed Khan	No	76
Daniel L. Ewert	No	76
Benjamin D. Braaten	No	76
Mansoor Asif	Yes	77
Ho-Yun Lee	No	77
Umer Amir Khan	No	77
Kyu-Hoon Park	No	77
Bang Wook Lee	No	77
Muhammad Aslam	Yes	78
Muhammad Aslam	Yes	79
Rashad A. R. Bantan	No	79
Nasrullah Khan	No	79
Yuya Atagi	Yes	80
Tong Zhao	No	80
Yoshiyuki Iso	No	80
Masahiro Takei	No	80
Ercan Atam	Yes	81
Tuba Ayhan	Yes	82
Mustafa Altun	No	82
Hawazin Badawi	Yes	83
Fedwa Laamarti	No	83
Abdulmotaleb El-Saddik	No	83
Mahmoud S. Badran	Yes	84
Hanady H. Issa	No	84
Saleh M. Eisa	No	84
Hani Fikry Ragai	No	84
Seungmin Baek	Yes	85
Jaemin Baek	No	85
Soohee Han	No	85
Jae-Woo Baek	Yes	86
Dong-Kyoo Kim	No	86
Kyung-Young Jung	No	86
Safa Bahri	Yes	87
Nesrine Zoghlami	No	87
Mourad Abed	No	87
João Manuel R. S. Tavares	No	87
Yechao Bai	Yes	88
Jianghui Li	No	88
Yu Wu	No	88
Qiong Wang 0002	No	88
Xinggan Zhang	No	88
Jing Bai 0006	Yes	89
Aiguo Song	No	89
Xiaomei Bai	Yes	90
Mengyang Wang	No	90
Ivan Lee	No	90
Zhuo Yang	No	90
Xiangjie Kong	No	90
Feng Xia 0001	No	90
Tong Bai	Yes	91
Chao Xu 0005	No	91
Rong Zhang 0001	No	91
Anas F. Al Rawi	No	91
Lajos Hanzo	No	91
Senthooran Balasubramaniam	Yes	92
Carlos E. Ugalde-Loo	No	92
Jun Liang	No	92
Debdeep Banerjee	Yes	93
Kevin Yu	No	93
Yawar Abbas Bangash	Yes	94
Tauseef Rana	No	94
Haider Abbas	No	94
Muhammad Ali Imran	No	94
Adnan Ahmed Khan	No	94
Debajyoty Banik	Yes	95
Asif Ekbal	No	95
Pushpak Bhattacharyya	No	95
Guanghai Bao	Yes	96
Run Jiang	No	96
Dejun Liu	No	96
Subhas Barman	Yes	97
Hubert P. H. Shum	No	97
Samiran Chattopadhyay	No	97
Debasis Samanta	No	97
Syed Khairul Bashar	Yes	98
Yeon-Sik Noh	No	98
Allan J. Walkey	No	98
David D. McManus	No	98
Ki H. Chon	No	98
Juan Manuel Rodriguez Bejarano	Yes	99
Carlos Miguel	No	99
Francisco Javier Ruiz Piñar	No	99
Loza Bekalo	Yes	100
Sijie Niu	No	100
XiaoJun He	No	100
Ping Li	No	100
Idowu Paul Okuwobi	No	100
Chenchen Yu	No	100
Wen Fan	No	100
Songtao Yuan	No	100
Qiang Chen 0004	No	100
Hilal Bello	Yes	101
Xin Jian	No	101
Yixiao Wei	No	101
Min Chen 0003	No	101
Imad Benacer	Yes	102
François-Raymond Boyer	No	102
Yvon Savaria	No	102
Joseph Benzaquen	Yes	103
Mohammad B. Shadmand	No	103
Behrooz Mirafzal	No	103
Lorenzo Bettini	Yes	104
Davide Di Ruscio	No	104
Ludovico Iovino	No	104
Alfonso Pierantonio	No	104
Tinish Bhattacharya	Yes	105
Sai Li	No	105
Yangqi Huang	No	105
Wang Kang	No	105
Weisheng Zhao	No	105
Manan Suri	No	105
Qi Bian	Yes	106
Brett Nener	No	106
Xinmin Wang	No	106
Desong Bian	Yes	107
Di Shi	No	107
Manisa Pipattanasomporn	No	107
Murat Kuzlu	No	107
Saifur Rahman	No	107
Anas Bilal	Yes	108
Aimal Rextin	No	108
Ahmad Kakakhel	No	108
Mehwish Nasim	No	108
Nir Billfeld	Yes	109
Moshe Kim	No	109
Torstein I. Bo	Yes	110
Erlend Vaktskjold	No	110
Eilif Pedersen	No	110
Olve Mo	No	110
Mate Boban	Yes	111
Diego A. Dupleich	No	111
Naveed Iqbal	No	111
Jian Luo 0001	No	111
Christian Schneider	No	111
Robert Müller	No	111
Ziming Yu	No	111
David Steer	No	111
Tommi Jämsä	No	111
Jian Li	No	111
Reiner S. Thomä	No	111
Denton Bobeldyk	Yes	112
Arun Ross	No	112
Shahin Boluki	Yes	113
Xiaoning Qian	No	113
Edward R. Dougherty	No	113
Lorenzo Bottaccioli	Yes	114
Santa Di Cataldo	No	114
Andrea Acquaviva	No	114
Edoardo Patti	No	114
Alexandros-Apostolos A. Boulogeorgos	Yes	115
Evangelos N. Papasotiriou	No	115
Angeliki Alexiou	No	115
Sami Bourouis	Yes	116
Atef Zaguia	No	116
Nizar Bouguila	No	116
Roobaea Alroobaea	No	116
Antonio Bracale	Yes	117
Pierluigi Caramia	No	117
Pasquale De Falco	No	117
Andrea Michiorri	No	117
Angela Russo	No	117
Victoria Gomez-Guillamon Buendia	Yes	118
Symon K. Podilchak	No	118
Davide Comite	No	118
Paolo Baccarelli	No	118
Paolo Burghignoli	No	118
Jose Luis Gomez-Tornero	No	118
George Goussetis	No	118
Do Hanh Ngan Bui	Yes	119
Tan-Phu Vuong	No	119
Jacques Verdier	No	119
Bruno Allard	No	119
Philippe Benech	No	119
Mateusz Burtowy	Yes	120
Mateusz Rzymowski	No	120
Lukasz Kulas	No	120
Egle Butkeviciute	Yes	121
Liepa Bikulciené	No	121
Tatjana Sidekerskiene	No	121
Tomas Blazauskas	No	121
Rytis Maskeliunas	No	121
Robertas Damasevicius	No	121
Wei Wei	No	121
Gangil Byun	Yes	122
Jun Hur	No	122
Seung-Seok Kang	No	122
Seok Bo Son	No	122
Hosung Choo	No	122
Jie Cai	Yes	123
Han Jiang	No	123
Pingyuan Zhang	No	123
Zhihua Zheng	No	123
Guangshi Lyu	No	123
Qiuliang Xu	No	123
Hongbin Cai	Yes	124
Ping Li	No	124
Chengli Su	No	124
Jiangtao Cao	No	124
Xulin Cai	Yes	125
Jian Shu	No	125
Manar Al-Kali	No	125
Jian-Ping Cai	Yes	126
Rui Yu	No	126
Qiuzhen Yan	No	126
Congli Mei	No	126
Lujuan Shen	No	126
Jian-Ping Cai	Yes	127
Rui Yu	No	127
Qiuzhen Yan	No	127
Congli Mei	No	127
Bin-Rui Wang	No	127
Lujuan Shen	No	127
Xiaoyan Cai	Yes	128
Yu Zheng	No	128
Libin Yang	No	128
Tao Dai	No	128
Lantian Guo	No	128
Mario Canul	Yes	129
Rogelio Hasimoto-Beltrán	No	129
Diego Jimenez-Badillo	No	129
Salvador Ruiz-Correa	No	129
Edgar Roman-Rangel	No	129
Menglong Cao	Yes	130
Zidong Ai	No	130
Yangjie Cao	Yes	131
Li-Li Jia	No	131
Yong-Xia Chen	No	131
Nan Lin	No	131
Cong Yang	No	131
Bo Zhang	No	131
Zhi Liu	No	131
Xue-Xiang Li	No	131
Honghua Dai	No	131
Xinhua Cao	Yes	132
Taihao Li	No	132
Hongli Li	No	132
Shunren Xia	No	132
Fuji Ren	No	132
Ye Sun	No	132
Xiaoyin Xu	No	132
Dun Cao	Yes	133
Yonghe Liu	No	133
Xiaomin Ma	No	133
Jin Wang	No	133
Baofeng Ji	No	133
Chunhai Feng	No	133
Jinxiu Si	No	133
Wanke Cao	Yes	134
Yingshuang Wu	No	134
Enfei Zhou	No	134
Jianwei Li	No	134
Jizhi Liu	No	134
Mauro G. Carignano	Yes	135
Vicente Roda	No	135
Ramon Costa-Castelló	No	135
Luis Valino	No	135
Antonio Lozano	No	135
Felix Barreras	No	135
Jose Gerardo Carrillo-Gonzalez	Yes	136
Jacobo Sandoval-Gutierrez	No	136
Francisco Perez-Martinez	No	136
Roberto Casado-Vara	Yes	137
Paulo Novais	No	137
Ana Belén Gil	No	137
Javier Prieto	No	137
Juan Manuel Corchado	No	137
Alvaro Garzon Casado	Yes	138
Pablo Cano Marchal	No	138
Juan Gómez Ortega	No	138
Javier Gámez García	No	138
Sandra Catalán	Yes	139
José R. Herrero	No	139
Enrique S. Quintana-Ortí	No	139
Rafael Rodríguez-Sánchez	No	139
Robert A. van de Geijn	No	139
Philip A. Catherwood	Yes	140
Brendan Black	No	140
Ebrahim Bedeer	No	140
Adnan Ahmad Cheema	No	140
Joseph Rafferty	No	140
James A. D. McLaughlin	No	140
ZhengYi Chai	Yes	141
Ya-Lun Li	No	141
Yamin Han	No	141
Si-Feng Zhu	No	141
Miguel Morales Chan	Yes	142
Roberto Barchino Plata	No	142
José-Amelio Medina	No	142
Carlos Alario-Hoyos	No	142
Rocael Hernández Rizzardini	No	142
Jing Chang	Yes	143
Jin Sha	No	143
Yuchao Chang	Yes	144
Xiaobing Yuan	No	144
Baoqing Li	No	144
Dusit Niyato	No	144
Naofal Al-Dhahir	No	144
Jenhui Chen	Yes	145
Ashu Abdul	No	145
Peiyao Chen	Yes	146
Baoming Bai	No	146
Zhaofeng Ren	No	146
Jiaqing Wang	No	146
Shaohui Sun	No	146
Chun-Hao Chen	Yes	147
Yu-Hsuan Chen	No	147
Jerry Chun-Wei Lin	No	147
Mu-En Wu	No	147
Yong Chen	Yes	148
Sizhong Chen	No	148
Yuzhuang Zhao	No	148
Zepeng Gao	No	148
Changlong Li	No	148
Chen Chen	Yes	149
Umar Dilshad	No	149
Ghulam Mehdi	No	149
Chao Wang 0009	No	149
Anyong Hu	No	149
Jungang Miao	No	149
Peng Chen 0008	Yes	150
Baojin Ding	No	150
Haixia Wang	No	150
Ronghua Liang	No	150
Yilong Zhang	No	150
Wei Zhu	No	150
Yipeng Liu	No	150
Mingqiang Chen	Yes	151
Lin Fang	No	151
Qi Zhuang	No	151
Huafeng Liu	No	151
Yingyin Chen	Yes	152
Xiaofang Gou	No	152
Xiuxia Feng	No	152
Yunbi Liu	No	152
Genggeng Qin	No	152
Qianjin Feng	No	152
Wei Yang 0006	No	152
Wufan Chen	No	152
Yindong Chen	Yes	153
Fei Guo	No	153
Zhangquan Gong	No	153
Weihong Cai	No	153
Yongxin Chen	Yes	154
Tryphon T. Georgiou	No	154
Allen R. Tannenbaum	No	154
Bingfeng Chen	Yes	155
Zhifeng Hao	No	155
Xiaofeng Cai	No	155
Ruichu Cai	No	155
Wen Wen	No	155
Jian Zhu 0001	No	155
Guangqiang Xie	No	155
Yuan Chen	Yes	156
Long-Ting Huang	No	156
Hing-Cheung So	No	156
Minghua Chen	Yes	157
Qunying Liu	No	157
Shuheng Chen	No	157
Yicen Liu	No	157
Chang-Hua Zhang	No	157
Ruihua Liu	No	157
Xihui Chen	Yes	158
Hongyu Li	No	158
Gang Cheng	No	158
Liping Peng	No	158
I-Hsuan Chen	Yes	159
Yunfei Long	No	159
Qin Lu	No	159
Chu-Ren Huang	No	159
Chaofan Chen	Yes	160
Li Li	No	160
Li Wang	No	160
Shuai Wang 0013	No	160
Xiangming Li	No	160
George K. Karagiannidis	No	160
Haole Chen	Yes	161
Deshi Li	No	161
Yuqin Wang	No	161
Feng Yin	No	161
Longtao Chen	Yes	162
Xiaojiang Peng	No	162
Mingwu Ren	No	162
Manlin Chen	Yes	163
Li Peng 0005	No	163
Bowen Wang	No	163
Weibiao Wu	No	163
Cuiqun Chen	Yes	164
Meibin Qi	No	164
Ning Yang	No	164
Wei Li	No	164
Jianguo Jiang	No	164
Ruirui Chen	Yes	165
Yanjing Sun	No	165
Yan Chen	No	165
Xiaoguang Zhang	No	165
Song Li 0001	No	165
Zhi Sun	No	165
Tao Chen 0002	Yes	166
Lin Shi	No	166
Limin Guo	No	166
Dapeng Chen	Yes	167
Aiguo Song	No	167
Xuhui Hu	No	167
Liyue Fu	No	167
Qiangqiang Ouyang	No	167
Chao-Yang Chen	Yes	168
Yang Tang	No	168
Liang-Hong Wu	No	168
Ming Lu	No	168
Xi-Sheng Zhan	No	168
Xiong Li 0002	No	168
Cai-Lun Huang	No	168
Wei-Hua Gui	No	168
Weishan Chen	Yes	169
Xinqi Tian	No	169
Kailei Xue	No	169
Shuo Chen	No	169
Hongpeng Yu	No	169
Chen Chen 0039	Yes	170
Adrien Ugon	No	170
Chenglu Sun	No	170
Wei Chen 0015	No	170
Carole Philippe	No	170
Andréa Pinna	No	170
Yanming Chen	Yes	171
Jiahui Wang	No	171
Rentong Chen	Yes	172
Nan Wang	No	172
Hui Hua	No	172
Liting Huang	No	172
Menglin Li	No	172
Zhenzhen Zou	No	172
Fangfang Ma	No	172
Xin Li	No	172
Dan Yang	No	172
Yan Deng	No	172
Fengrong Ou	No	172
Yang Liu	No	172
Hefeng Chen	Yes	173
Naiqi Wu	No	173
Zhiwu Li	No	173
Ting Qu	No	173
Hailian Xiao	No	173
Xiu-Bo Chen	Yes	174
Ya-Lan Wang	No	174
Gang Xu	No	174
Yi-Xian Yang	No	174
Chien-Ming Chen	Yes	175
Bin Xiang	No	175
Yining Liu	No	175
King-Hang Wang	No	175
Yanan Chen	Yes	176
Weixiang Xu	No	176
Li Peng	No	176
Hao Zhang	No	176
Jinyin Chen	Yes	177
Yitao Yang	No	177
Keke Hu	No	177
Qi Xuan	No	177
Yi Liu 0024	No	177
Chao Yang	No	177
Ying Chen	Yes	178
Xiaoyong Yu	No	178
Yingyi Li	No	178
C. L. Philip Chen	Yes	179
Dengxiu Yu	No	179
Lu Liu 0003	No	179
Hechang Chen	Yes	180
Bo Yang 0002	No	180
Hongbin Pei	No	180
Jiming Liu 0001	No	180
Jian-Xin Chen	Yes	181
Wei Yu	No	181
Wei Qin	No	181
Quan Xue	No	181
Cheng Chen 0005	Yes	182
Wenxiang Yang	No	182
Fang Wang 0004	No	182
Dan Zhao	No	182
Yang Liu	No	182
Liang Deng	No	182
Canqun Yang	No	182
Xiangrong Chen	Yes	183
Jingzhe Yu	No	183
Linwei Yu	No	183
Hao Zhou	No	183
Qiang Chen	Yes	184
Hou Zhang	No	184
Jiayu Chen	Yes	185
Dong Zhou	No	185
Ziyue Guo	No	185
Jing Lin	No	185
Chuan Lyu	No	185
Chen Lu	No	185
Yan Chen	Yes	186
Qinglin Zhao	No	186
Xiping Hu	No	186
Bin Hu	No	186
Anqi Chen	Yes	187
Yuan Zhuang	No	187
Yi Huang	No	187
Jiafeng Zhou	No	187
Guihong Chen	Yes	188
Yiju Zhan	No	188
Geyi Sheng	No	188
Liang Xiao 0003	No	188
Yonghua Wang	No	188
Geyao Cheng	Yes	189
Deke Guo	No	189
Jianmai Shi	No	189
Yudong Qin	No	189
Juan Cheng	Yes	190
Gen Li	No	190
Xianhua Chen	No	190
Jianhua Cheng	Yes	191
Xiangyu Sun	No	191
Hongjie Mou	No	191
Hongzhong Cheng	Yes	192
Jian Wu	No	192
Zhao Luo	No	192
Fei Zhou	No	192
Xinglin Liu	No	192
Tao Lu	No	192
Chao Cheng	Yes	193
Jiuhe Wang	No	193
Wanxiu Teng	No	193
Mingliang Gao	No	193
Bangcheng Zhang	No	193
Xiaojing Yin	No	193
Hao Luo	No	193
Hsu-Yung Cheng	Yes	194
Chih-Chang Yu	No	194
Chih-Lung Lin	No	194
Huang-Chia Shih	No	194
Chih-Wei Kuo	No	194
Hao-ying Cheng	Yes	195
Haibo Zhang	No	195
Zhongzhi Hu	No	195
Qiangang Zheng	No	195
Hong Cheng	Yes	196
Shouming Zhong	No	196
Qishui Zhong	No	196
Kaibo Shi	No	196
Xin Wang 0027	No	196
Luca Chiaraviglio	Yes	197
Jaime Galán-Jiménez	No	197
Marco Fiore	No	197
Nicola Blefari-Melazzi	No	197
Poongjin Cho	Yes	198
Woojin Chang	No	198
Jae Wook Song	No	198
Young-Rae Cho	Yes	199
Seung-Jun Shin	No	199
Sung-Hyuk Yim	No	199
Kyeongbo Kong	No	199
Hyun-Woong Cho	No	199
Woo-Jin Song	No	199
Sunyanan Choochotkaew	Yes	200
Hirozumi Yamaguchi	No	200
Teruo Higashino	No	200
Gulraiz Iqbal Choudhary	Yes	201
Wajid Aziz	No	201
Ishtiaq Rasool Khan	No	201
Susanto Rahardja	No	201
Pasi Fränti	No	201
Muhammad E. H. Chowdhury	Yes	202
Amith Khandakar	No	202
Karen J. Mullinger	No	202
Belayat Hossain	No	202
Nasser Al-Emadi	No	202
Andre Antunes	No	202
Richard Bowtell	No	202
Pan Chu	Yes	203
Jing Lei	No	203
Qibin Liu	No	203
Phuong Minh Chu	Yes	204
Yunsick Sung	No	204
Kyungeun Cho	No	204
Nonchanutt Chudpooti	Yes	205
Nattapong Duangrit	No	205
Prayoot Akkaraekthalin	No	205
Ian D. Robertson	No	205
Nutapong Somjit	No	205
Heewon Chung	Yes	206
Hooseok Lee	No	206
Chul Kim	No	206
Sangjin Hong	No	206
Jinseok Lee	No	206
Tianshuo Cong	Yes	207
Jingjing Wang	No	207
Sanghai Guan	No	207
Yifei Mu	No	207
Tong Bai	No	207
Yong Ren	No	207
Jinyu Cong	Yes	208
Yuanjie Zheng	No	208
Wufeng Xue	No	208
Bofeng Cao	No	208
Shuo Li 0001	No	208
Haoxi Cong	Yes	209
Minhao Zhang	No	209
Shu-Tao Xia	No	209
Qingmin Li	No	209
Alberto Corbi	Yes	210
Iratxe Lejarreta Errasti	No	210
Daniel Burgos	No	210
Jose Maria Rodríguez Corral	Yes	211
Ivan Ruiz-Rube	No	211
Antonio Abad Civit Balcells	No	211
Jose Miguel Mota-Macias	No	211
Arturo Morgado Estevez	No	211
Juan Manuel Dodero	No	211
Jesús Peral Cortés	Yes	212
Antonio Ferrández	No	212
Higinio Mora Mora	No	212
David Gil	No	212
Erick Kauffmann	No	212
Estefanía Crespo-Bardera	Yes	213
Mauricio Rodríguez	No	213
Matilde Sánchez Fernández	No	213
Eva Rajo-Iglesias	No	213
Rodolfo Feick	No	213
Reinaldo A. Valenzuela	No	213
Luis Cruz-Piris	Yes	214
Miguel A. López-Carmona	No	214
Ivan Marsá-Maestre	No	214
Ran Cui	Yes	215
Gang Hua 0002	No	215
Aichun Zhu	No	215
Jingran Wu	No	215
Haiqiang Liu	No	215
Jiabin Cui	Yes	216
Guo-Wei Lu	No	216
Hongxiang Wang	No	216
Yuefeng Ji	No	216
Yong Cui 0002	Yes	217
Xiao Song	No	217
Luxing Zhao	No	217
Haiwen Yuan	No	217
Guifang Wu	No	217
Chen Wang	No	217
Xiubin Dai	Yes	218
Jianan Bai	No	218
Tianliang Liu	No	218
Lizhe Xie	No	218
Zhiyu Dai	Yes	219
Rongqian Yang	No	219
Fei Hang	No	219
Jian Zhuang	No	219
Qinyong Lin	No	219
Zhigang Wang	No	219
Yonghua Lao	No	219
Tao Dai	Yes	220
Li Zhu	No	220
Yifan Wang	No	220
Hongfei Zhang	No	220
Xiaoyan Cai	No	220
Yu Zheng	No	220
Loic Dalmasso	Yes	221
Florent Bruguier	No	221
Pascal Benoit	No	221
Lionel Torres	No	221
