:START_ID(Article)	:END_ID(Keyword)
12805	secure computer system
9436	Software
19828	data storage
10680	data modeling
8885	RAM
8438	data querying
8043	data storage
2430	data querying
7534	big data
16321	data management
12712	mathematical model
9112	secure computer system
14160	data storage
12760	Hardware
16275	big data
5840	security
15287	data
6980	secure computer system
1375	Software
15705	data
17576	data storage
9989	indexing
12551	ROM
19286	indexing
7125	model simple security condition
8654	data storage
8137	data modeling
1816	mathematical model
3232	RAM
806	security
19153	data modeling
8110	data
13717	data management
6791	indexing
11097	data
11371	big data
13273	data querying
14926	big data
17787	data storage
19222	data querying
18782	data modeling
17888	big data
14001	data querying
15281	processing
9405	asterisk-property
18295	data querying
16723	processing
5800	big data
7845	Software
18875	big data
6061	asterisk-property
17477	data
10342	security policy
13364	data
16588	data modeling
6904	data
11393	data
2175	processing
17082	big data
15348	data modeling
10276	security
15775	data querying
662	data storage
640	secure computer system
10196	security policy
1610	TCP/IP
4395	security
8397	data
4193	secure computer system
6318	processing
8236	Software
11991	trusted subject
12209	data querying
11144	data modeling
6341	mathematical model
565	mathematical model
4097	Hardware
8482	asterisk-property
5151	data querying
12912	data management
13520	big data
17685	data modeling
17802	processing
19676	data querying
6824	ROM
5771	data modeling
6052	RAM
695	big data
1507	data
17712	data storage
18630	data
4683	big data
2611	model simple security condition
3300	data querying
5394	security
12255	data
2076	data
7524	data management
7962	data
2050	processing
7319	RAM
7549	ROM
11152	RAM
12691	Software
15861	processing
19436	big data
8563	ROM
12905	big data
11843	Hardware
12914	big data
14459	indexing
1648	indexing
4347	Hardware
9510	TCP/IP
9523	security policy
16793	data
18825	data modeling
7996	Hardware
15178	data
5377	indexing
15982	data modeling
4906	data
2484	Hardware
6408	data management
15985	data storage
16191	data
18781	processing
9242	data storage
9163	star property
17685	big data
6277	star property
15975	data storage
6772	data modeling
2403	security policy
13327	data management
2299	security
10817	data
14527	data storage
17155	processing
14158	data modeling
15714	data querying
16278	data storage
7785	security
880	processing
2081	TCP/IP
7198	mathematical model
1088	data storage
15224	processing
18477	data
189	secure computer system
6461	ROM
11770	data
4586	model simple security condition
5950	data management
3737	indexing
1125	model simple security condition
7165	star property
316	data storage
8124	Software
13916	data querying
6198	asterisk-property
17117	indexing
7181	TCP/IP
1371	secure computer system
5031	RAM
6294	secure computer system
16736	data storage
3203	security
17738	big data
3531	trusted subject
3566	processing
15057	data
2457	model simple security condition
4405	trusted subject
18108	data querying
4289	data querying
1171	trusted subject
11375	RAM
15756	data modeling
10655	RAM
10273	security policy
3552	TCP/IP
3594	Software
10420	secure computer system
12635	data modeling
2982	data querying
14812	data management
2464	data modeling
18378	processing
1149	secure computer system
5380	mathematical model
10928	mathematical model
11367	star property
18261	data storage
4284	security policy
6600	processing
13752	data modeling
16648	data management
17125	data
18840	processing
15435	data storage
17243	data modeling
18766	processing
8126	trusted subject
14493	big data
6160	data management
10509	data management
5065	TCP/IP
18451	data modeling
1262	TCP/IP
12900	big data
11936	data querying
6395	data
7318	Software
13041	data management
2392	ROM
13569	indexing
14746	big data
10041	processing
16556	data querying
19439	data storage
11154	data
5775	data modeling
11728	mathematical model
454	asterisk-property
18308	indexing
5388	indexing
619	data management
2331	big data
10311	data
11003	indexing
18328	data storage
11259	star property
12617	mathematical model
17026	data modeling
18773	data querying
7226	asterisk-property
4448	asterisk-property
19900	processing
2359	data storage
11976	RAM
5546	data management
12227	big data
13480	data modeling
4576	data querying
2459	secure computer system
4841	indexing
9445	security
15834	data querying
3426	data querying
7449	mathematical model
11268	indexing
17176	data querying
7902	data querying
8076	indexing
8924	data querying
14201	indexing
1042	mathematical model
18799	big data
9572	data modeling
7665	data modeling
7961	model simple security condition
12865	data querying
3402	model simple security condition
9232	indexing
7914	data
9751	TCP/IP
17340	data storage
11533	ROM
14341	data storage
18521	data
208	data querying
3182	star property
9020	Software
13564	data management
2274	security
10961	star property
10792	big data
2493	RAM
1855	data management
3407	security policy
2738	TCP/IP
17793	data storage
7429	data management
5060	security policy
259	indexing
13050	processing
11274	data management
11154	big data
13589	data storage
4912	data management
18588	data querying
6608	security
3239	TCP/IP
17031	data
11817	star property
4197	asterisk-property
15276	data modeling
3255	ROM
1081	security policy
12072	mathematical model
15180	big data
6894	data storage
4780	big data
14311	data querying
18659	processing
16809	data modeling
13431	data
11288	Hardware
2242	processing
15090	data
19698	data querying
10117	data modeling
7919	data management
8757	secure computer system
8833	data querying
10909	TCP/IP
15317	data management
17823	indexing
5124	indexing
5146	data storage
6087	data modeling
3651	data
4770	data
5390	data querying
6594	Software
11756	data
456	RAM
8322	processing
14314	data modeling
15831	processing
19426	data storage
13867	data
1599	big data
17358	data querying
15319	data management
2069	Software
14688	data
331	trusted subject
10665	data storage
14881	data
5002	Software
3963	big data
9736	processing
12450	data modeling
17595	processing
18083	data
17524	indexing
3929	star property
13981	indexing
1027	data modeling
18175	data modeling
10530	Software
1307	data storage
2265	security
14935	data querying
13204	big data
16039	data
16165	indexing
1663	data
2373	security
8567	ROM
17994	data
18435	indexing
6317	processing
9968	security policy
9740	big data
9013	model simple security condition
13958	data management
15005	data storage
3134	Software
9185	TCP/IP
507	data modeling
13444	data management
13579	processing
7948	data modeling
9874	data storage
13882	big data
14756	processing
11072	processing
15185	indexing
3704	security
15838	data
4605	data
16048	data modeling
10623	asterisk-property
16780	data
17594	processing
12176	data
16900	data management
17775	processing
2851	trusted subject
7234	data modeling
9248	asterisk-property
11337	processing
10644	security
12084	security policy
18886	data querying
2725	processing
11603	Hardware
12800	data
1000	indexing
1881	trusted subject
6658	trusted subject
6626	model simple security condition
8380	ROM
9004	model simple security condition
103	data modeling
13402	data modeling
14330	indexing
10682	RAM
14971	big data
1350	trusted subject
15067	data querying
15437	data
19683	indexing
6592	model simple security condition
13951	indexing
19084	data modeling
967	data management
19864	data modeling
11531	RAM
16696	data querying
942	data modeling
19195	data modeling
8561	trusted subject
5208	data management
5584	asterisk-property
5026	star property
8062	secure computer system
7169	processing
4763	big data
14031	processing
15199	big data
2251	Hardware
10182	data querying
15844	indexing
10099	mathematical model
15640	data querying
10875	data querying
9206	Software
19729	data storage
973	star property
19054	indexing
8797	data querying
9638	asterisk-property
10217	star property
6907	ROM
16746	data querying
17424	processing
7390	indexing
12863	secure computer system
13825	data
12364	indexing
4284	asterisk-property
13289	indexing
19303	data management
5062	Software
5472	data storage
15498	data modeling
9833	data querying
2753	trusted subject
16890	data modeling
16743	data querying
4108	star property
1782	data querying
3820	data storage
13854	data modeling
18654	data querying
10659	trusted subject
9335	security
17444	data management
8516	data storage
12769	data management
14761	data querying
3024	mathematical model
8699	indexing
8740	security policy
7242	mathematical model
800	trusted subject
9719	Software
11691	security
9877	indexing
9115	trusted subject
17336	data storage
598	asterisk-property
12938	processing
9543	secure computer system
4967	model simple security condition
13152	processing
4081	data storage
6543	star property
19590	data
18969	data modeling
19513	data management
3004	secure computer system
7249	Software
4609	secure computer system
6644	big data
4237	big data
9281	secure computer system
18284	indexing
10482	data management
730	data modeling
15967	data storage
10942	data management
7967	mathematical model
18618	big data
19711	big data
18102	processing
4824	processing
3554	data storage
18012	data management
12916	trusted subject
14315	data storage
6665	data
10752	data storage
403	data
9708	data modeling
8220	star property
5569	data modeling
13044	indexing
14652	processing
19576	data modeling
9632	data management
2964	asterisk-property
13416	indexing
17202	data modeling
10570	star property
11293	big data
7412	processing
450	indexing
14599	data querying
3052	data storage
13597	processing
18842	big data
10651	asterisk-property
3101	data management
11661	processing
11681	indexing
6558	mathematical model
13889	processing
19043	big data
7515	Hardware
7928	security
4843	Hardware
12019	ROM
4970	data management
14308	data querying
18983	indexing
18924	data querying
17351	indexing
19209	data querying
8295	RAM
19606	data modeling
4848	processing
19802	data management
14395	indexing
17802	data querying
15442	data management
9553	indexing
8761	data querying
8102	processing
9519	Hardware
3506	TCP/IP
9122	secure computer system
17978	big data
14210	data querying
5904	security policy
15082	indexing
19551	data querying
4099	data querying
5724	data management
8901	Hardware
10406	big data
13314	big data
2001	indexing
19425	data
10516	model simple security condition
5455	data querying
13241	processing
3477	model simple security condition
7443	indexing
6372	data management
1675	trusted subject
10777	data querying
2393	data querying
19374	indexing
5109	data querying
12374	mathematical model
1418	model simple security condition
3588	indexing
12876	mathematical model
4283	processing
11525	big data
3017	data management
14274	data
16346	data storage
18641	processing
16104	big data
12333	big data
12939	trusted subject
15204	processing
1025	ROM
19790	data modeling
11345	data management
496	data querying
3724	Hardware
10955	processing
2726	TCP/IP
13924	data management
16501	data storage
1195	RAM
4383	Hardware
1273	data querying
12303	data modeling
15800	data management
9492	data modeling
17829	data modeling
10408	TCP/IP
7763	indexing
12344	data
861	data querying
1913	data modeling
12029	indexing
1625	TCP/IP
10392	data management
11506	star property
4318	Software
12498	big data
5088	trusted subject
8312	data modeling
7544	data storage
15404	data storage
6678	indexing
19463	indexing
14640	data storage
7328	data storage
13666	big data
12738	data querying
13772	data
3003	Hardware
3390	model simple security condition
15624	indexing
18875	data storage
16095	data modeling
6363	mathematical model
6549	Hardware
4294	RAM
6851	processing
11906	data management
1489	processing
13403	indexing
3462	data
8108	data modeling
9850	asterisk-property
14424	indexing
1348	indexing
16388	big data
16860	big data
17208	data modeling
1596	mathematical model
15999	data modeling
16024	data storage
11675	TCP/IP
5208	processing
8323	secure computer system
11608	Software
3348	indexing
12013	data management
7047	data management
2088	security
12928	security policy
16326	data modeling
1459	TCP/IP
9972	asterisk-property
1578	data querying
11548	Hardware
8273	data querying
11775	Software
19743	data storage
13533	data
9391	data management
16877	data management
19393	data storage
840	security
6018	model simple security condition
9298	secure computer system
12790	ROM
19632	data modeling
6387	asterisk-property
9918	secure computer system
13982	data modeling
7800	data
6422	ROM
19331	data management
19721	processing
12469	trusted subject
12902	TCP/IP
632	processing
5463	ROM
3777	Hardware
8099	ROM
5749	data storage
5867	processing
7170	Software
9472	data querying
11881	data management
8761	big data
367	security
8982	big data
10545	indexing
12386	data modeling
14246	big data
5708	data
14632	data management
5217	data querying
12328	data
17773	data management
18033	data
13887	indexing
14589	data modeling
10477	mathematical model
9238	secure computer system
19902	data management
14117	data modeling
1169	TCP/IP
3155	model simple security condition
7708	data storage
779	data
1229	asterisk-property
2554	big data
1703	data querying
6364	processing
9360	ROM
16198	data management
18657	data
4354	star property
17282	indexing
16937	data modeling
11946	RAM
14111	data
8448	data querying
17252	data management
3661	data
18419	big data
10618	star property
7309	secure computer system
19682	data storage
19739	data storage
2346	model simple security condition
17478	big data
14178	data modeling
19881	indexing
328	Hardware
11143	data storage
17213	indexing
4844	security policy
3978	data
18928	data storage
2920	data management
4547	ROM
7577	indexing
10164	Hardware
12152	security policy
9102	data management
1672	data
15553	indexing
17920	processing
19292	data querying
9742	data
18884	data storage
1308	data modeling
14889	data querying
521	Software
7769	data management
9611	processing
17188	processing
6119	processing
16240	data querying
5451	mathematical model
9499	star property
636	ROM
2626	TCP/IP
6694	big data
19667	data
12700	security
1816	secure computer system
107	big data
1900	model simple security condition
14714	big data
9427	secure computer system
3095	mathematical model
16514	processing
18249	data storage
5397	ROM
9381	RAM
15695	data modeling
5011	trusted subject
14246	data modeling
19218	indexing
6921	processing
13373	data querying
10832	secure computer system
8554	trusted subject
12187	Hardware
7441	secure computer system
16473	data management
16476	data management
5427	model simple security condition
12098	indexing
13277	indexing
14426	big data
15312	indexing
10676	data
15922	indexing
14716	data management
1754	data querying
12952	big data
16687	indexing
18355	data
1542	model simple security condition
4854	data querying
8466	security
15596	data modeling
18343	indexing
9245	Software
14242	data
15569	data management
10947	Hardware
12982	data modeling
14472	big data
7908	indexing
7614	data querying
4729	data
2256	data
16783	big data
18377	indexing
11577	RAM
2852	data querying
17258	indexing
11356	Hardware
16500	data management
10249	RAM
15262	data management
5448	security
12885	asterisk-property
14498	data storage
17070	data
14014	data storage
17696	data management
10695	data management
15559	data
16927	big data
14727	indexing
17034	data management
6047	indexing
83	Hardware
3574	star property
6166	processing
7566	indexing
14314	big data
3982	data management
16704	data modeling
14604	data querying
4836	security
13752	data querying
7114	model simple security condition
19605	data
11942	data querying
6282	indexing
11494	RAM
1997	trusted subject
1166	mathematical model
12786	data querying
14938	data querying
2464	data
9166	secure computer system
1140	data storage
10741	RAM
14498	processing
15162	data
641	Hardware
6170	data modeling
6085	TCP/IP
12222	data storage
15884	big data
11761	processing
14785	data querying
8662	indexing
18526	data management
5869	ROM
3831	star property
10852	big data
11955	security
4018	data querying
7583	asterisk-property
11679	data
14175	processing
4554	data modeling
12695	star property
2961	processing
19459	data storage
12392	data modeling
7619	ROM
9454	data storage
1865	ROM
12824	RAM
13281	data storage
18705	data
19922	data modeling
4950	processing
15736	data querying
17829	data querying
15127	data modeling
17892	big data
5666	asterisk-property
19354	data
3177	mathematical model
9451	data management
3491	TCP/IP
8099	mathematical model
3419	ROM
15085	big data
19273	data modeling
16134	data modeling
3643	big data
6316	RAM
19472	data modeling
7343	security
18578	data
6863	data management
5006	data modeling
12672	data storage
12849	Hardware
3670	data
4045	security policy
9486	Software
14589	indexing
16665	data management
1853	data management
9040	asterisk-property
17707	data querying
5339	data storage
13769	indexing
7189	asterisk-property
5403	security
2451	data
8637	data storage
15526	big data
8243	data management
9727	data storage
4794	data management
10678	star property
17936	big data
4671	processing
13164	processing
15051	big data
13219	data querying
15785	data
12170	data modeling
4893	processing
15892	data querying
814	model simple security condition
4026	security policy
7621	ROM
11126	mathematical model
17528	data storage
5405	RAM
5186	TCP/IP
1032	data querying
7794	Software
9098	data storage
10844	big data
11359	star property
12664	star property
19141	data
7468	TCP/IP
13399	data modeling
17034	data
8634	security policy
5320	TCP/IP
3854	asterisk-property
15332	data management
17165	data querying
8730	Software
15243	data management
5207	security
11499	Software
15489	data storage
10616	star property
8307	trusted subject
7803	data
3314	mathematical model
16245	indexing
5056	big data
11194	indexing
19318	indexing
14172	indexing
449	indexing
6916	big data
8437	data querying
5126	RAM
12295	asterisk-property
15365	processing
18867	data querying
15935	data storage
5554	RAM
8174	Hardware
10922	data storage
14689	processing
14681	data querying
11798	mathematical model
593	star property
13223	data storage
2732	processing
3071	indexing
4556	model simple security condition
19560	indexing
2939	data storage
14331	big data
14889	data modeling
12939	mathematical model
17201	indexing
4130	model simple security condition
9328	data
16956	indexing
18698	data querying
14767	processing
1671	security
9154	data
16327	data storage
4660	secure computer system
10111	asterisk-property
87	model simple security condition
4359	mathematical model
10948	ROM
15155	indexing
2285	data storage
15233	big data
4683	data storage
10901	Hardware
15668	data modeling
16277	data querying
19333	data modeling
1491	model simple security condition
5008	big data
17391	data management
9618	data
2154	data modeling
6585	data
5361	TCP/IP
10882	model simple security condition
3947	TCP/IP
6476	data modeling
14087	big data
2058	TCP/IP
1642	mathematical model
17298	big data
17747	data querying
5671	security
4598	data querying
14165	processing
5091	ROM
1198	data storage
7785	mathematical model
15651	processing
16188	data querying
5378	security
12337	processing
18244	indexing
417	ROM
6132	data storage
16920	data querying
14045	indexing
16471	big data
4641	data modeling
16941	processing
2254	data modeling
9921	security
13184	data storage
16177	processing
4895	processing
13325	data querying
8345	security policy
360	security policy
3400	security policy
12528	TCP/IP
6779	ROM
6591	indexing
2855	RAM
12753	big data
2595	data
4258	TCP/IP
7838	big data
14958	data
4713	data modeling
12402	model simple security condition
7760	security policy
14202	big data
16968	big data
10444	model simple security condition
7747	trusted subject
18007	processing
241	ROM
6609	Software
11071	big data
10473	data management
3045	model simple security condition
6927	trusted subject
1832	asterisk-property
10180	secure computer system
12995	data modeling
320	data storage
1282	ROM
16371	data management
10737	Software
1804	big data
16914	data modeling
17247	processing
3642	model simple security condition
8235	big data
17591	data modeling
4021	ROM
10761	big data
12212	processing
17516	indexing
16636	data storage
1422	Software
5441	RAM
5730	big data
15514	data storage
11387	data querying
3110	Hardware
14982	big data
7820	Software
155	processing
9717	data storage
1620	data querying
9096	trusted subject
11166	processing
2208	processing
7141	data
15565	indexing
18725	big data
9438	RAM
1813	data querying
18710	data storage
5873	RAM
9984	ROM
12859	trusted subject
1909	big data
12693	Software
7494	indexing
12296	model simple security condition
6876	data modeling
12112	data
14665	data
15163	big data
17848	indexing
40	secure computer system
14632	data storage
11309	secure computer system
605	TCP/IP
16327	data querying
10719	star property
16796	data storage
2082	data management
13170	data modeling
9683	indexing
6926	indexing
2571	data management
625	data querying
11250	model simple security condition
13085	data querying
2032	data storage
2041	Software
3299	asterisk-property
2160	security
8850	indexing
7341	data storage
13085	data
13317	indexing
15816	data querying
15819	data storage
8799	data
19934	data management
4403	big data
15743	data storage
9022	processing
3843	trusted subject
5826	data storage
12771	asterisk-property
19534	processing
15423	data storage
16578	processing
2429	data
9681	trusted subject
15473	indexing
14516	data storage
15429	big data
17479	data management
19469	data management
6497	processing
7650	ROM
10928	RAM
5555	indexing
12306	data
15557	data querying
15963	data management
7877	Software
5684	RAM
10896	data management
18818	data storage
15437	data modeling
2246	star property
14487	data modeling
9245	secure computer system
17452	data storage
16093	data storage
1548	big data
16845	data management
15011	data querying
10252	asterisk-property
14973	data
14718	processing
13900	big data
14314	data storage
5121	asterisk-property
5102	mathematical model
12019	asterisk-property
15848	indexing
12415	ROM
1644	Software
15381	data management
10107	star property
12740	star property
13901	data querying
16895	data management
12656	indexing
7653	data storage
7926	TCP/IP
888	Hardware
4651	data management
3314	asterisk-property
12394	data storage
6139	Hardware
17266	processing
4563	data management
9379	security
7672	TCP/IP
6584	Hardware
16395	data querying
15613	big data
1339	data
4473	secure computer system
1560	security policy
16640	indexing
1222	TCP/IP
19170	processing
11286	model simple security condition
2730	processing
4710	big data
4972	indexing
9916	data
2254	data
3759	data querying
13004	data management
1997	security
6550	data management
18180	data querying
10263	asterisk-property
3700	data modeling
1361	security policy
1636	data
900	model simple security condition
5930	ROM
11860	data storage
3688	data modeling
7819	indexing
3788	star property
4739	security policy
9116	data querying
10983	data
8359	secure computer system
15230	indexing
19455	data storage
13239	data modeling
19162	processing
2293	data storage
4096	Software
7269	data
12450	indexing
14893	data management
1615	data querying
6284	ROM
8661	secure computer system
9158	trusted subject
12952	data modeling
10332	data storage
18391	big data
8009	model simple security condition
1304	data modeling
13862	data modeling
16135	indexing
16339	data storage
5832	security policy
5019	secure computer system
16124	data management
12741	data modeling
5602	indexing
9290	data management
10471	data
10780	indexing
11051	processing
12087	data storage
16144	data modeling
2865	mathematical model
11271	indexing
11700	security
19031	indexing
1973	Hardware
16438	data
10641	indexing
11351	data management
1896	data
5913	trusted subject
16830	processing
16985	data modeling
16854	data
10817	data modeling
11460	data modeling
17893	data storage
9708	processing
19653	processing
2040	security
7179	model simple security condition
13000	data management
1885	data storage
6491	security policy
14652	data storage
19773	indexing
11929	secure computer system
8573	big data
1689	big data
7292	trusted subject
10948	security policy
13909	big data
14258	data modeling
4844	Hardware
12424	data modeling
2090	processing
3881	ROM
7308	security policy
13225	data storage
15216	data storage
12243	data storage
6611	security
7725	RAM
4835	data storage
10589	data querying
15979	processing
10304	model simple security condition
5934	trusted subject
731	data management
7719	data storage
12829	data querying
15995	processing
1837	data
6991	mathematical model
19859	processing
13367	data management
11948	indexing
17421	processing
798	security policy
12289	data querying
5642	indexing
14750	indexing
19788	data querying
8211	security
8508	indexing
1855	big data
13426	big data
3452	data
11477	processing
6600	data management
17197	big data
9863	data querying
2399	data
6291	data storage
11238	Software
12699	data management
13137	data management
9752	data
12624	big data
6296	star property
12938	data querying
8894	security policy
18294	data management
18633	data modeling
3640	trusted subject
16854	processing
18705	data querying
7350	indexing
18094	data storage
3609	data querying
16278	data querying
19921	big data
8863	mathematical model
1866	data
10301	data modeling
15728	processing
7625	model simple security condition
14741	data modeling
13367	data modeling
7042	indexing
2000	big data
11548	asterisk-property
18778	big data
14890	data storage
11593	data modeling
7146	security policy
8378	indexing
740	ROM
7169	data modeling
8368	data storage
11717	Software
8118	security
8278	big data
1261	trusted subject
10519	star property
13698	big data
17520	data modeling
12379	Software
5621	model simple security condition
19637	indexing
15081	indexing
9762	Hardware
6411	processing
11831	secure computer system
13216	data storage
12295	trusted subject
17391	data querying
3853	Software
12422	indexing
3325	processing
397	data storage
8077	security policy
8379	big data
10321	indexing
16268	indexing
12904	data
4242	Hardware
7988	indexing
19241	processing
7642	trusted subject
6890	model simple security condition
13351	data storage
11844	big data
2770	security policy
4881	Software
11199	trusted subject
5990	TCP/IP
13686	data modeling
14589	data management
15784	data modeling
8972	Hardware
17743	data
19332	data management
13678	indexing
14680	processing
5799	data
10956	data querying
14773	indexing
19486	data querying
8626	data management
12243	indexing
17876	processing
2312	Software
10277	data storage
7353	security policy
13302	big data
9262	data modeling
11003	data modeling
2829	data storage
1600	security policy
5836	data
3771	data querying
14183	indexing
17781	data
4500	data
5228	processing
19810	processing
1168	indexing
7320	trusted subject
6061	mathematical model
13386	data management
17631	data querying
16479	data modeling
5422	secure computer system
15459	indexing
13139	data storage
560	data querying
5317	mathematical model
4204	mathematical model
3880	data modeling
16897	data management
19548	data
3818	ROM
11564	big data
18802	data modeling
2804	model simple security condition
11994	data querying
2739	indexing
11370	asterisk-property
13964	big data
15003	data querying
7861	security
1884	data management
7902	indexing
9627	data modeling
11745	data management
18005	data storage
10263	trusted subject
8343	TCP/IP
14582	data
16594	data storage
2417	Software
1381	star property
10922	processing
11321	security
3846	data modeling
836	Hardware
3632	indexing
18942	data querying
15359	data querying
17402	data
1498	data storage
14884	data storage
14247	big data
7185	RAM
1086	TCP/IP
17809	data modeling
1433	processing
9947	Software
4286	data storage
10396	security
17824	data
8119	data management
7643	big data
1987	data storage
3202	processing
3424	Software
6804	model simple security condition
2782	data storage
10926	data
12154	model simple security condition
14390	processing
19695	data
18319	big data
9093	TCP/IP
491	Hardware
14439	data modeling
3449	Hardware
16207	big data
17360	big data
6139	mathematical model
6636	trusted subject
19576	data
19476	processing
12328	data modeling
6681	model simple security condition
14479	indexing
860	data management
5175	model simple security condition
2919	data modeling
10750	data querying
18562	data modeling
87	Hardware
1426	TCP/IP
5009	secure computer system
18831	data modeling
8033	big data
10822	indexing
13972	processing
6115	processing
11397	data management
16535	big data
2493	asterisk-property
4753	asterisk-property
854	data storage
9347	TCP/IP
3737	data modeling
6733	TCP/IP
18939	data management
10824	data storage
11784	data
3258	indexing
7413	data querying
14219	data management
9205	data querying
75	security
6031	model simple security condition
11759	indexing
18059	data modeling
14650	data management
12017	secure computer system
8401	data storage
9293	big data
18771	indexing
6992	TCP/IP
14541	indexing
1672	data querying
9647	TCP/IP
12949	big data
5039	indexing
11732	model simple security condition
6701	data storage
7759	data storage
4299	data management
7718	data querying
13424	data
18345	processing
19278	data querying
19749	data management
7765	data modeling
10132	data management
15336	data management
16516	processing
11028	data management
2005	data querying
14587	data querying
13117	big data
6263	big data
16451	data
6569	data querying
8377	TCP/IP
9066	data querying
15157	processing
9944	mathematical model
427	security
6953	data modeling
2828	processing
9339	model simple security condition
3051	security
10362	trusted subject
13372	processing
868	data storage
10783	data
1857	indexing
3760	big data
7428	data storage
10137	big data
14088	data
18414	data modeling
3512	Software
4151	processing
1540	processing
12534	processing
3660	data management
17486	data management
9922	TCP/IP
2958	indexing
3263	model simple security condition
11097	big data
18166	data querying
17167	data
17136	processing
12352	processing
4017	data management
1119	big data
4831	data storage
2960	security policy
15487	indexing
15713	indexing
4603	data querying
1111	big data
8198	mathematical model
8733	data querying
10613	data storage
3696	data management
12398	indexing
10667	model simple security condition
8309	data modeling
19150	processing
4334	data modeling
11762	processing
12145	big data
16253	data storage
8557	Software
3107	secure computer system
9159	processing
12988	data
1809	data management
11596	data management
8356	data querying
12684	processing
4203	data modeling
17873	processing
4885	big data
7086	indexing
9876	indexing
18263	data management
2461	mathematical model
12457	Hardware
9172	Software
3113	data querying
13860	big data
16854	indexing
4149	model simple security condition
1164	data
9323	ROM
15023	data
9143	model simple security condition
11653	RAM
5917	Software
9834	star property
16536	data management
4169	data
2589	data
6569	data
10610	data modeling
16215	data modeling
3023	security policy
7544	big data
3233	security
105	data modeling
4130	Hardware
16390	indexing
12707	data modeling
14339	processing
10053	security policy
10612	data storage
16352	processing
17556	indexing
3980	security policy
6760	trusted subject
12336	secure computer system
8169	security
9006	TCP/IP
19238	data modeling
7003	big data
9248	ROM
3573	model simple security condition
15993	processing
3784	mathematical model
6347	indexing
17635	processing
17179	big data
7457	indexing
15896	data management
454	security
4587	Hardware
7580	asterisk-property
11725	security
8661	TCP/IP
2524	data storage
15521	data querying
9254	data modeling
6028	indexing
4658	data storage
7326	RAM
13909	data modeling
6327	indexing
10189	data querying
4766	security
16711	big data
13464	data management
15712	data querying
13120	data querying
3899	Software
1100	model simple security condition
12379	ROM
2302	Hardware
7180	data management
8265	data
18868	data
14760	processing
130	data querying
938	indexing
1212	data management
1929	Hardware
2479	Software
7577	data modeling
10337	big data
