:START_ID(Author)	:END_ID(Article)
Alessandro Lidozzi	7321
Magda Ruiz	19670
David M. Maahs	13265
Tsung-Hsun Hsieh	19853
Rachid Echahed	12249
Cecilio Blanco Viejo	19699
Yonghong Zhou	19307
Bin Xu 0003	61
Roberto Scopigno	7403
Felipe J. Gil-Castiñeira	15937
Donato Impedovo	19028
Joan Arnedo-Moreno	6372
Song Li 0001	18740
Raffaele Ricatto	19447
Khalid H. Malki	5718
Arunan Sivanathan	10698
Venu Madhav Govindu	14640
Manish Yadav	5725
Achraf Mtibaa	3652
Yanqing Li	13065
Conny Fiedler	13530
Csaba Andras Moritz	8523
Jongtack Jung	15128
Yidong Lou	17517
Tom Torfs	8983
John Vines	4294
Irene Bartusseck	11596
Zbigniew Otremba	5240
Camilo A. R. Díaz	13431
Arin M. Ellingson	17140
Ananth Srinivasan	14872
Richard Lindner	1216
Qiankun Liu	13829
Lin Zhao 0001	18151
Syed Obaid Amin	5173
Insoo Kim	5908
Mei Li	17861
Monowar Hasan	7827
Valerie Sparkes	3527
Po-Chen Yeh	8440
Filip Bergquist	18297
Yinda Zhang	10346
Riwal Lefort	10930
Luiz G. B. Genu	7749
Binghang Zhou	16969
Ian S. Burnett	12493
Yixuan Lv	5542
Noof A. Alenazi	12678
Sujia Guo	1984
Vinton G. Cerf	17930
Huaqing Wu	2154
Kalpathi R. Ramakrishnan	8164
Lingzhi Liang	13219
Sven Fielsch	2156
Raja Gumienny	12204
Toshitsugu Ueda	14730
Timothy F. Wright	17540
Wenfang Xin	4712
Romina Brasca	16788
Hajime Mitsuishi	3373
Gang Li 0011	18980
Lei Wang 0067	11019
Jason Irukulapati	4580
Thiemo Alldieck	19532
Ying-Lun Chen	7348
Mohammad Farshadnia	18641
Spiros Mouzakitis	9854
Javier Escudero	15052
Thomas Preuss	2181
Franck Betin	5181
Bingyong Tai	5625
Ahmet Kermen	19369
Hadj Adda Bentounes	16427
Feiran Li	18584
Anass Nouri	8853
P. B. Jayaraj	19202
Aleksandar Brkovic	18485
Fu-lei Chu	9714
M. Eric	6540
Yashwanth Reddy	14694
Silke Jansen	4582
Shilei Jiao	10229
Gui Yun Tian	13493
Memduh Emre Cakan	16188
Xiaohong Shen	8420
Yanhong Luo	1840
Fei Hao	17124
Oguzhan Avci	17310
Dandison C. Ukpabi	74
Yuanjin Pan	4161
Ying He 0011	15982
Mickael Maman	1622
Shaifu Gupta	2176
Rosarita Tatè	6366
Ashraf Gorgey	9042
Dingkun Long	10970
Cristina Sylla	9074
Félix Salazar Bloise	1202
Ricardo Siqueira de Carvalho	12243
Wenchuan Cai	13777
Bertram Felgenhauer	1740
Matteo Davoli	3875
Andrei Bytes	5515
Zhihua Qu	2721
Haiquan Wang	16307
Luca Benini	9924
Naiyuan Liu	11926
Tim van de Gucht	10349
Dimitrios Alanis	3362
Stratos Idreos	7848
Xiaogang Guo	19477
Martin Aumüller 0001	2659
Jan Vanfleteren	6648
Vasanthan Raghavan	10184
Trond A. Tjøstheim	1500
Jia-Horng Yang	6127
Lei Ding	8184
Junbo Zhang	14970
Ju-Yang Zheng	19097
Xiuqin Pan	9293
Stanislav Ivanov	18790
Omar Harib	13798
Shivendu Shivendu	15078
Djamal Benslimane	16624
Xinhua Lu	10977
Jintao Wang	19585
Tim Colonius	5132
Qing Ai	7444
Xin-Ping Guan	11402
Torsten Wik	13164
Francesco Maiorano	3829
Xiuqin Wei	12159
Francesco Peluso	11101
Thomas Shull	8868
Nurudeen A. Adegoke	3123
Vishwanath Pooneeth	6595
Yuanyuan Shang	2252
Zhigang Zhu	14557
Peter Newman	16586
Changgui Jia	9185
Wenfu Lin	16984
Tommaso Cucinotta	9354
Jianwei Zhao	12024
Kamil Faisal	16065
Jesús Cardesín Miranda	6868
Sanghyun Kim	5769
Michele Grassi	5800
Yasuaki Kakehi	6034
Woojin Park	4938
Long Chen	19582
Laura Burattini	9908
Muhammad Zubair Aslam	14683
Caio Augusto Rodrigues dos Santos	13944
Mohamed S. Diab	7385
Yuan-Rong Lo	14347
Shuang Cang	6643
Jinsong Wu	13679
Zongwei Liu	16950
Alexander Ryder	3907
Borja Bordel	8705
Gina Smith	535
Elham Hashemizadeh	5566
Sukhan Yoon	12797
Newton Howard	16028
Javier Ramírez-Navarro	3348
XiaoSong Du	2827
Chengwei Gan	9378
Yen-Sheng Huang	6035
Taosong Fan	4728
Valerio Vianello	10833
Khalil Klouche	1679
Jens Petersen	3863
Amanda Gilvin	11719
Sibylle B. Thies	17005
Stefano Serra Capizzano	2247
Ming-Feng Chang	13691
Kaikai Chi	16766
Heba M. Abdel-Atty	17632
José Carlos Palomares Salas	15824
Marcello Cirillo	16455
Myung Chin Kim	14449
Peter Michael Young	8757
Mengmeng Cheng	13895
Zhigang Zhu	3375
Fei Chen 0010	17763
XiaoQing Zhu	7476
Kam K. Leang	12075
Jiajie Han	1510
Seungwoo Kang	18479
Lujie Zhang	19526
Hiroyuki Yotsuyanagi	1041
Susumu Kunifuji	16697
Andrea Michiorri	12276
Frederico A. Limberger	16737
Xuan Li 0003	3459
Sungjoon Lim	12858
Jean Bort	9869
Ya-Qi Jing	13964
Q. Diduck	6315
D. Jude Hemanth	15446
Seong Ik Han	17182
Zhiqiang Guo	14901
Tengyun Wang	5053
S. Amir Hosseini	18245
Sijun Du	5530
Vaishnav Srinivas	4910
Matt Collins	17941
Ramesh Chembil Palat	6329
Mingjun Dai	9233
A. Peña	9626
Vincensius Billy Saputra	15006
Pei-Hsun Yi	16205
Lefeng Zhang	13655
Jinfu Li	18771
Elisabetta Marini	3285
Arunmoezhi Ramachandran	17004
Robert Griñó	7853
Dongkoo Shon	9896
Glyn Lawson	6146
Nicholas Wilson	11160
Nobuhiro Mizuno	2867
José Antonio Gómez	9225
S. S. Askar	17479
Bander Alzahrani	19285
Paragkumar Thadesar	14717
He Guo	11074
Yanjun Sun	364
Jian Lan	10385
Xiangdang Xue	1460
Xuesong Deng	11313
Martin Gilje Jaatun	14074
Marcel Wever	11280
Junjun Zhang	16498
Hongjiu Yang	16756
Teresa E. Alarcón	17577
Guang Lin	15569
Krishna P. Miyapuram	16204
Sean Ryan Fanello	10095
Anna Kurzych	752
Diego J. Díaz	11705
Gang Xu	15012
Rodrigo Martins	19286
Gokce Nur Yilmaz	9142
Sang-Kyu Kwak	6160
Pepe Eulzer	10647
Jan Behmann	17115
Sebastiaan Steensels	18532
Youping Huang	2624
Thao Nguyen-Trang	4034
Hongqian Lu	6676
Roslina Mohd Sidek	2342
Petar R. Matic	4112
Sarbani Ghose	14284
Shuqiang Huang	19689
Kazuto Ichimaru	2410
M. A. Hernández-Verón	16385
Benjamin Guthier	5543
Tao Wen	10557
Mohd Salmi Md Noorani	10819
Angel X. Chang	2858
Moos Hueting	18938
Andreas Put	16735
Jingwei Ren	8651
Abdurrahman Becit	13315
Karl David Wegner	10017
Elena López-Aguilera	386
Sang H. Choi	16227
Ismael Torres-Gomez	13763
Anil Jangam	17009
Lynda Webb	4219
Haihan Sun	4742
Galina Mirzaeva	7742
Sven Findeiß	11450
Insoo Kim	12736
Bernadette Miara	8843
Zhongsheng Qian	18740
Stephan Krenn	106
Juan Song	2680
Elisabeth Neumann	12545
Yong Wang	18487
Erfan Aghasian	7526
Xiuhua Cai	9001
Sebanjila Kevin Bukasa	7036
Marco Castiglione	16458
Jörg Blankenbach	17450
Olivier Arguence	6220
Qingtao Meng	13768
Norma B. Lozada-Castillo	15963
Ghada Ben Nejma	10922
Rami Oweis	8569
Boby George	5008
Sangmin Kim	16538
Son-cheol Yu	17666
Cong-Zhi Zhao	13276
Dimitris Christinakis	2397
Junho Song	16057
Ralf Möller 0002	12277
Jianxu Liu	6800
Lina Zhang	15814
Hanumant Singh	7901
Noura Faci	4099
Janet Moore	4247
Floriana La Marca	1013
Atefeh Armand	13473
Shinji Sumimoto	4046
N. Narendra	2775
Patrick Dickinson	6777
Cihun-Siyong Alex Gong	8720
Venkata Dinavahi	8652
Che-Hao Meng	5685
Daniel N. Aloi	2140
Christopher Zach	18538
Jingang Wang	15345
Zhenhui Situ	15545
Shaobo Lv	18191
Jürgen Repp	18498
Simone Kriglstein	14314
Jiwei Gao	19848
Catriona M. Kennedy	2617
Wei Yin 0003	16301
Changhyun Jeon	17739
Jean-Marie Normand	14223
Héctor Vargas	14396
Xisheng Li	9929
Han Ren	12146
Jason Farina	17109
Chen-Feng Liu	9145
David Estevez	5300
Kang Wang	8316
Ying-Chang Liang	15071
Fulvio Capodici	8360
Kamil Faisal	2572
Rui He	16943
Absalom E. Ezugwu	17308
Hai Wang 0003	7308
Franck Betin	11172
Lutza Ireland	11816
Antonio Bandera	19731
Adrian Jaggi	10848
Miguel Ángel Marco Buzunáriz	9900
Tiago Bandeira Marchesan	19778
Randolf Mock	4870
Clive Parini	19507
Michael Wallner	4777
Laurent Artola	12699
Preetha Phillips	13265
Chenyang Xue	18369
Rui Yang 0001	16919
Dan Keun Sung	354
Liaquat Ahmad	2859
Ronghu Chi	18698
Fang-Hsin Chen	16238
Ricardo Granizo Arrabé	7776
Eilif Pedersen	6951
Anjana Dissanayake	15584
Disi Chen	8342
Jun Takada	12806
Muhammad Umair	18281
Elina Laitinen	2082
Jie Ma	7690
Ngoc-Son Pham	17854
Hyunsoo Kwon	9952
René K. Boel	6936
Rainer Kokozinski	19114
Jian Wang 0013	1962
Yourong Li	10963
Christiane Peters	16495
Boleslaw Z. Kacewicz	14211
Muhammad Mohtasim Sajjad	6058
Domenico A. Palumbo	7639
Jan O. Borchers	4300
Néstor Thome	19908
José David López	6520
Maoguo Gong	7013
Meng Yang	17476
Lisandro Zambenedetti Granville	2503
Chun-Yang Zhang	7047
Junbo Sun	4570
Nicolai Fog Gade-Nielsen	19912
Li Yan	19249
Liang Deng	10969
Zhihong Deng	1534
Hanjun Kim	13400
David Espes	192
Adrian Nocon	18126
Yang Li 0011	11600
Yuefei Sui	747
Qingguo Xie	3372
Sarah Homewood	1290
Jianxin Zhu	15645
Yi Jiang 0006	16258
Anbin Xiong	17188
Ota Samek	16656
Kyle Z. Goodman	7961
Lili Zhang	18234
Hao Zhang 0004	8430
Mai H. El-Sherief	11402
Elli Kartsakli	3506
Elmahdi Driouch	8334
Kay Hameyer	13477
Marc Madou	13165
Yong-Fu Wang	6446
Basit Shahzad	13352
Shuzhen Wang	15667
Tatyana Ogay	10315
Christian Kaethner	9940
R. Mohaneesh	12302
Bo Yang	10199
Michele Manunta	5426
Robert Györödi	12569
Jarred Fastier-Wooller	6362
Zhiyu Wang	9343
Kunshan Xu	16956
Jinjian Wu	19420
Guo Li 0003	13911
Siti Hajar Othman	7383
Yang Yang 0001	1231
Luís Portugal	4313
Inma Mohino-Herranz	7088
Shaopeng Wu	8606
Sami Myllymaa	9749
Xiaoshu Chen	11103
Jonas Zuercher	7135
Valentina Bacciu	1139
Yadana Theins	582
Yu Gu 0012	13590
Muhammad Abrar Hussain	18478
Brian Suffoletto	18786
Cheng Shu	8835
Casey D. Demars	19141
Tanaka Tanaka	12044
Shao-Yu Lien	1515
Xinzhou Cheng	6631
Ivona Jerkovic	10684
Xiaoqiang Ma	2980
Syed Irtaza Haider	15461
Morito Matsuoka	14646
Dimitri Van Landuyt	18860
Cong-Zhi Zhao	15802
Christos P. Antonopoulos	15832
Xiaokun Wu	2373
Vincent Daval	5612
Claudia Campolo	10058
Jiashang Liu	5480
Poonam Chaudhary	6517
Enrico Mezzetti	3871
Ripendra Awal	9428
Piotr Nowakowski	6216
Axel Nothnagel	12054
Omair Shafiq	2497
Peng Tang	10041
Andrey I. Lyakhov	5422
Jitae Shin	9976
Daniel Y. Abramovitch	10209
Wooi Boon Goh	7369
Wesam Rohouma	3226
Dawit Fekadu Teshome	9359
Chinwe O. Ikpo	15771
Qiang Tan	9435
Chengjie Li	4738
Wei Dong	19508
Wei-Lun Huang	17975
Rajaram Tukaram Ugale	1120
Van Thuan Do	10648
Shu Xiang	15528
Hwa-Young Kim	18969
Paulson Samuel	9131
Young Hoon Ji	14544
Hala Tawalbeh	979
Eryk Bunsch	4892
Tsubasa Yumura	14846
Li Cong	18064
Usama Anwar	419
Joshua Kohn	7772
Ali Sunyaev	13311
William Lovegreen	3100
Jia-Fu Chen	6850
Angus Robert MacKenzie	1875
Ingo Fischer	16882
Maryam Hafeez	19882
Sebastien Pinneterre	11235
Anders Martinsson	12074
Deqing Zou	18571
Yonggang Zhang	6172
Marco Agus	18169
V. Pasialis	275
Ayshwarya Saktheeswaran	4159
Andrew Gozzard	10240
Ehsan Monabbati	13773
Bart Mennink	15508
Zhenyu Na	12312
Thanos G. Stavropoulos	15884
Steve Bourgeois	444
Bj Minson	16628
Jun-Feng Yin	12114
Huu Nguyen Nguyen Tran	2622
Zixuan Xiang	2783
Jin Tae Kwak	4921
Nicolás González-Deleito	3233
Zhi Ding 0001	17149
Nurafiqah Johari	9075
Ravi Kumar Suresh Babu	17799
Qin Wu	19367
Savvas Tsotoulidis	15074
Panagiotis Mavros	6763
Mansik Kim	10337
Toshiya Okazaki	8565
Chuang Hou	18426
Rui-Hong Dong	16123
Jixin Ma	986
João José Costa Gondim	12765
Chris M. Buonocore	19350
Asim Mazin	13602
Mohamad Souheil Alabed	8860
Kamel Tourki	17091
Thi Yen Le	16177
Shengyun Liang	11289
Masahide Goto	15463
Yao Qi	13716
Abraham Marquez	752
Hiroyuki Suzuki	13994
Zhaolong Huang	5426
Huan Zhang	15703
Philip M. Long	12661
Alwin Zulehner	18084
Roberto Aceiton	11835
Jie Tan	3918
Wenchao Xia	11373
Nezah Balal	14981
Ioannis K. Tsanis	12299
Jie Hua	17238
Joann K. Whalen	14327
Qishan Li	17323
Hao Luo	1977
Xudong Wu	6478
Wangxiang Zhang	9664
Lukas Stamm	17350
Yuuichi Teranishi	10329
Efstathios Katranaras	6153
Pourang Irani	16962
Mirko Gagliardi	10017
Guangzhao Luo	5470
Zhihong Man	8883
Edward H. Wagner	19359
Joao M. Santos	10639
Oral Büyüköztürk	17397
Seo-Gwang Jeong	19875
Chao Shen	3142
Zhiyu Dai	5846
Ghazanfar Ali Safdar	13040
Xin Su	7960
Piotr Majtczak	3961
Ihor Elperin	5669
Shinji Tadaki	10250
Yunsaing Kim	8244
Sanghyun Yoon	16499
Wuwei Chen	3080
Omar Akchiche	18654
Carlos Miguel Tavares Calafate	7946
Bernd Hamann	7881
Jun Yu 0002	3767
Omer Nur	6678
Hansol Lee	18830
Athanasios Voulodimos	16443
Farhad Abbasi Aghdam Meinagh	19925
JongSuk Lim	8259
Rakesh Tripathi	2396
Pietro Schipani	7322
Adam Luczak	14683
Alireza Ramyar	11352
Ben Liang	4539
Lothar R. Schad	8991
Liam M. Casey	8635
Khuram Shafi	18946
Jonathan Cook	13056
Zhe Xia	1650
Khac-Tuan Nguyen	4326
Naveena Karusala	15180
Souvik Chattopadhayay	4874
Chih-Cheng Lu	9558
Ming Chiang Chen	5548
David Massimo	3612
Michael Wallner	9219
Stefan Dietzel	6286
Sudheer Babu	18332
Alexander Koelpin	12381
Silvia Achtzehn	19082
Syed Hassan Ahmed	946
Suat Gedikli	12939
Holger Reckter	16287
Ronghui Wang	1509
Jinjie Zhang	9595
Sebastian Franken	10114
Wei-Hua Gui	6466
Eftychia G. Datsika	9134
Laurent Goerig	5289
Rui Chen	1463
Hwa-Pyeong Park	13625
D. Kudelski	17070
Igor A. Levitsky	3214
Adrian Dziembowski	12990
Mingxiong Zhao	2440
Shaoshi Yang	6007
Wooyeol Choi	11765
Angelique Loesch	14766
Christos Koulamas	10580
Xing Zhao	10985
Qianming Xu	809
Mahmoud E. Khater	16931
Xite Wang	6639
Vanlin Sathya	12815
Danilo Demarchi	8432
Mansi Peer	17651
Vladan Koncar	7314
Xiang Jia	19034
Tohru Sekino	13530
Duc Thanh Nguyen	14907
Xiaojie Chen	15549
Dia I. Abu-Al-Nadi	17575
Bing-Hsun Wu	5573
Quang Vinh Nguyen	10550
Diana Constantinescu-Aruxandei	5699
Cai-Hua Xiong	14040
Gunther Notni	5627
Andreas Specht	4016
Arun Vishnu Suresh Babu	408
Hang Yin	10959
Marina L. Gavrilova	16172
Vadim M. Agafonov	8506
Chung-Han Chou	2398
Hamid R. Parsaei	10481
Subhas Mukhopadhyay	3413
José Alberto Naves Cocota	10950
Amandeep Singh Sappal	16814
Muye Pang	19545
Zunkai Huang	14999
Guangyi Liu	183
Jiang Liu 0005	10563
Jiho Choi	9993
Ugochukwu C. Nze	16515
Vishnu Vardhan Makkapati	14092
Ahmad Khattab	7267
Xiaoguang Zhou	19773
Sachiko Kodama	8167
An Li	2762
Chen Feng	16164
Oganeditse A. Boikanyo	3090
Chris Adeniyi-Jones	214
Xiaohong Bai	1596
Yongwoo Cho	15203
Tadeusz Kaczorek	13604
Sheikh Mahbub Habib	4583
Chihoon Kim	9798
Michele Pastorelli	2247
Reiner Kraft	11514
Shuibiao Chen	15714
Xinyang Deng	2182
David López-Pérez	2785
Virginia Strati	2900
Ningyi Dai	8266
Qiangwen Fu	10820
Sao-Jie Chen	17992
Yunsheng Mao	3937
David P. Towers	13640
Hsiao-Ting Tien	4654
Samuel Madden	10028
Michael Cheffena	11793
Andre F. Caldeira	1003
Jin He	12195
Hong Xiang	406
Rasha Ragheb Atallah	12757
Oliver Salazar Celis	14315
Nicolas Lammens	3351
Tahani S. Alotaibi	2527
Hamada Esmaiel	333
Haifeng Hu 0001	1172
Christopher C. Wills	16410
Xun-Huan Deng	2287
Lukas Eilers	10720
Tao Bian	4773
Xiaofei Li	4715
Mengjie Shi	5180
Pablo Sanchis	5391
Santiago Velasco-Forero	13661
Asta Guobiene	2101
Fayi Chen	8903
Jiwon Seo	7671
Alessandro Danisi	1492
Iman Nazari	17821
Gabriela Gheorghe	18071
Guang Xu	11625
Yunquan Gao	16793
Dzmitry Savitski	9956
Rundong Kevin Tian	19645
Paulo Brito	14708
Jingchi Zhang	6855
Valeri Kontorovich	19751
Deepak K. Tosh	19062
Henk Jan Bergveld	10221
Anne-Marie Giroux	16345
Hossein A. Moghaddam	9426
Zhenglin Liu	3711
Norbert J. Pelc	9743
Yueying He	1753
Guanglou Zheng	10948
Mohammed Alodib	5775
Jürgen Dampf	4632
Xiaojie Chen	10148
Ilan Shimshoni	7533
Gustavo A. Arango	10474
Hiroshi Imai	9318
Ronald A. Metoyer	5361
Srikumar Mallik	15111
S. V. Hari Prasad	16187
Xiao-Ping Xu	18312
Zhuowen Lv	2696
Atul Sandur	12166
Ercui Li	16484
M. Gloria Fiestras-Janeiro	9282
Ying Gu	8096
Tomás Koudelka	12812
Anabel Llavador	4881
Alan Huffman	5819
Ashutosh Bhatia	6857
Celia Picard	7821
Xiaohong Shen	11286
Kai Kuikkaniemi	13481
Kasun Thejitha Karunanayaka	17457
Olivier Nocent	1611
Chien-Chou Lin	1214
Zongwei Liu	6832
Satoshi Hirahashi	7019
Gunho Sohn	4655
Piotr Borkowski	7210
Henrique C. Fernandes	5520
Jafar Zarei	2368
Ronghui Wang	17864
Xiaoqiang Sun	8245
T. Ali	16403
Erte Pan	2759
Li Jiang 0001	18981
Qianlan Ying	8011
Xiaoyuan Luo	1790
Bogdan Groza	12570
Jeff Viens	17429
Nicolas Lefebvre	14945
Yury Zhauniarovich	14756
Teshome Megersa Bekele	13116
Antonio Bicchi	19318
Xiaoshu Chen	17452
Jean-Marc Menaud	7983
Yulu Fu	5388
Jordan Daoudi	6120
Mattias Gustafsson	7947
Ondrej Bublík	15555
Kenton O&apos;Hara	13023
Noèlia Carbó	1289
Lora Oehlberg	1343
Mox Cheng	4431
Andrey Somov	9776
Rubén Barragán	469
David B. Alencar	18445
Guilin Wen	5644
Jing-Yi Chen	9704
Sally Vail	2893
Guido Van den Berghe	4907
Andrew P. McPherson	10962
Maria Serena Chiriaco	7210
Stewart Williams	2978
Ming-Tzu Ho	5516
Shaoguang Huang	15998
Hiroko Tashiro	3745
Sapan Agarwal	9541
Asger Givskov	13002
Ezio Bartocci	11292
Aitor Álvarez	15070
Eli De Poorter	3014
Shujian Wang	9640
Pengyu Wang	2529
Son N. Han	14819
Liuliu Huang	4782
Manuel Pérez-Ruiz	3329
Haoli Hou	13451
Furong Li	441
Nir Geron	2854
Rentao Gu	559
Richa Sharma	13187
Georg Dorner	13290
Deepa Kundur	5655
Meng-Lun Tsai	10366
Bing Dong	16030
Maud Geoffriault	18987
Adrian Chmielewski	7042
Achintya Bhowmik	18233
Xiangxi Bu	8478
Johanna Jupke	4991
Marinela M. Dîrtu	7164
Simon Kwoczek	10484
Mathieu Bressel	5334
Mugen Peng	1814
Jyotsna Kumar Mandal	8530
Toyoaki Hida	18994
Alejandro López	14440
Yousif A. Dama	14791
Wanchen Yang	7559
Evangeline F. Y. Young	12488
German Andres Ramos	8262
Yutaka Miyake	3460
Min Yuan	17974
Thierry Lubin	13845
Lihong Liu	3990
Xianyue Kong	8064
Susan Lysecky	12807
Mónica Oliveira	15068
Yongwen Du	17792
Anastasios Economou	8998
Taixiong Zheng	428
Paolo Monti	5126
Filippo Cugini	17366
Ankit Dubey	3417
Hongyu Li	4397
Faustina J. Anto Morais	7356
David W. Chung	12525
Mu-En Wu	655
Billie F. Spencer Jr.	1623
Xiaoning Sun	15818
Radu-Emil Precup	1117
Menghua Li	2668
Ting Dai	7622
Nong Zhang	18415
Chao Lu	1457
Alexey Varezhnikov	1149
Enea Cippitelli	8554
Iza Husna Mohamad Hashim	15724
Rodrigo Ponce	330
Moon Gi Seok	18107
Changhui Jiang	2301
Cesare Malagù	5454
Miguel Ángel Hernández-Verón	14291
Andre F. Caldeira	7394
Mohamed Masmoudi	19779
Xiaodan Gu	13205
Akihiro Hayashi	7335
Paul D. Walker	17324
Xuebo Zhang	18470
Madan Pande	7678
Velayutham Rajendran	14188
Thomas Suselo	13387
Aditi Kathpalia	7996
Yan Mei	11304
Chunhe Xie	15122
Syed Mosahid Khurshid Rishad	2107
Yasuhiro Kitamura	17033
Weiguo Jiang	3381
Quoc-Viet Dang	15186
Silvio Vaschetto	2995
Gabriel Loewen	2605
Sayanti Mondal	8601
Yanzheng Zhu	1228
Hui Jian	359
Arthit Thongtak	10329
Gilad Drozdov	13398
Feng Sha	1286
Pratik Tiwari	16044
Chonghu Cheng	15579
Thong Huynh	7506
Junqiang Liu	16910
Nasid Habib Barna	1776
Ryan Stutsman	10879
Daniel Sánchez Morillo	9643
Shuqing He	16762
Shuangyin Liu	17797
Robert Y. Lewis	18470
Sean G. P. O&apos;Brien	19698
Junyi Li	5580
Alan Garwood	19040
Masoud Masih-Tehrani	16082
Andrew Churchill	19934
Gleb Beliakov	1759
Xiao-Xia Guo	9575
Jorge Blasco	1751
Keita Takahashi	3330
Chunjie Yang	12332
Ahmed Al-Saffar	18262
Sangmin Kim	13312
Jan Prokes	13166
Shailendra Kumar Sharma	5884
Xiangrong Chen	11075
Wilfried Mayer	15140
Tatsuji Takahashi	1990
Stefania Serafin	6511
Jeongyeup Paek	17710
Naohisa Komatsu	2064
Weihua Lai	8057
Mohamed A. Mohamed	8401
H. K. Samitha Ransara	9155
Nasruddin Hassan	9133
Ming-Chun Tang	2064
Feng Yan 0001	7446
Jian Ma 0005	16528
Mahdi Azizi	17351
Khac-Tuan Nguyen	10010
Alexander G. Bannov	18786
Miguel Riveiro	1078
Agustín D. Delgado	18540
Ramin Ghaznavi Youvalari	969
Rikke Gade	11537
Javeria Amin	19594
Mohsin Ali Badshah	4085
Lianwen Jin	986
Ewald F. Fuchs	7167
Yong Lv	9877
Hao Zhang 0045	8946
Michael J. Dinneen	4998
Jordi Naqui	714
M. Auxiliadora Casterad	17657
Rajon Bardhan	2621
Fei Gao 0004	13945
Takahiko Furuya	829
Peter J. Miller	931
Chastine Fatichah	13847
Yandong Gao	16139
Luis F. Capitán-Vallvey	7119
Konstantinos Banitsas	6918
Jian Zhao	3601
Michael Scharfschwerdt	4635
Dalil Ichalal	7430
Mohammed Balfaqih	14049
Mattia Filippini	11459
Muhammad Ishaq Abro	6075
Yanzhang Wang	16412
You Fu	16541
Philipp Hagemeister	18416
Lina Alhmoud	10859
Feng Dong	18710
Juha Röning	4621
Zhiguan Huang	19765
Roberto Lloréns	8186
Mihaela Ribicic Penava	13280
Yves Quere	17793
Dietrich Paulus	3449
Xiaoyan Hong	19098
Seong Ik Han	2649
Muhammed Fazlur Rahman	4121
Oresti Banos	4534
Vanessa Calderaro Dalcin	16226
