author	institution name	Company|University
Soovoojeet Jana	Gibson, Powers and Palmer	Company
Wanlu Shi	Universidad APEC	University
Mohammad Alkhatani	Davenport College of Business, Lansing	University
Shujuan Wang	Bailey Group	Company
Cheng Hu 0004	Watkins Inc	Company
Aneela Tahira	Bright-Luna	Company
Jarno Kukkola	Christensen LLC	Company
Geng Li	Miller, Flores and Andrews	Company
Xiaojuan Yan	Galloway Inc	Company
Oana Stan	Stone, Scott and Ayala	Company
Anastasios Drosou	Hudson Inc	Company
Giulio Riberto	Pham Ltd	Company
Abhijith Anilkumar	Myers, Ruiz and Coleman	Company
Avishai Wool	Kansas State University	University
Qinxue Li	Union University	University
Kasper S. Pedersen	Lopez, Williams and Gardner	Company
Weimin Lei	Ecole d'Ingénieurs en Informatique pour l'Industrie	University
Raimir Holanda Filho	Adkins, Bryant and Adams	Company
Qiang Yu 0007	Near East School of Theology	University
Andrea S. Atzeni	Richardson-Velasquez	Company
Thomas Pelchen	Georgian Technical University	University
Weiting Sun	Purdue University North Central	University
Sourav Kanta	Purbanchal University	University
Xianbin Zhu	Wilson LLC	Company
Jose Luis Monroy-Morales	Panjab University	University
Xavier Granados	University Of Hawaii - System	University
Petr Blazek	Nebraska Methodist College of Nursing and Allied Health	University
Pengchao Ye	Pham Ltd	Company
Fabien Ferlay	Rani Durgavati University	University
Phillip J. Kollmeyer	Kanazawa College of Economics	University
Gerrit Dumstorff	Brown Ltd	Company
Mauricio Espinoza	Universidad Técnica de Ambato	University
Xuemai Gu	Brown-Juarez	Company
Sang-Won Hwang	Bates-Hines	Company
Jianquan Yao	Perez, Davidson and Palmer	Company
Matteo Saviozzi	Technische Fachhochschule Wildau	University
Silvia Bonomi	Davis, Edwards and Keller	Company
Fabiano Cezar Domingos	Garcia PLC	Company
Sihai Li	Gallagher Ltd	Company
Indira Thouvenin	Colon, Smith and Wong	Company
Philip Koopman	Smith and Sons	Company
Alicia Rodriguez-Carrion	Hines Group	Company
Raghuraman Selvaraju	Universidad Empresarial	University
Kai Liao	Johnson-Jennings	Company
Chunyan Shuai	Worcester Polytechnic Institute	University
Olivier Hoes	Hernandez-Farmer	Company
Manas Kumar	Brown Group	Company
Krzysztof Zawirski	State University of New York Downstate Medical Center	University
Ivan Cruz-Aceves	Nelson-Fernandez	Company
Qiongxuan Ge	Fine Arts Academy in Warsaw	University
Peter J. Sterk	Osmania University	University
Wenjun Zhang 0001	Universidad Empresarial	University
Alberto Alonso Arroyo	Miller, Fitzpatrick and Mcclain	Company
Tomoko Tsuchihashi	Pontifícia Universidade Católica do Rio de Janeiro	University
Chih-Chung Huang	Tate Ltd	Company
Martin Berger	Tusculum College	University
Shafique Akbare	Gomez-Miller	Company
Joan Camps	Universidad de las Regiones Autónomas de la Costa Caribe Nicaragüense	University
Wunna Soe	Miranda LLC	Company
Shing-Hong Liu	Hines Group	Company
Akihiro Ohori	Gomez, Norton and May	Company
Zhao Li	Kemp, Jacobs and Hartman	Company
Isidro Campos	Sebha University	University
Jens Klappstein	Garcia, Mckee and Weaver	Company
Handy Fortin-Blanchette	Li Ltd	Company
Gabriele Grandi	Anderson-Robinson	Company
Zahra Emam-djomeh	Seton Hill College	University
Peter Garraghan	Douglas, Ryan and Hardin	Company
Yin Wang 0003	Indiana Wesleyan University	University
Miguel A. Fuentes-Fuentes	Ramirez and Sons	Company
Chang Min Kim	Aga Khan University	University
Koki Toda	University of Szczecin	University
Jean-Marie Andrejak	Józef Tyszkiewicz College of Business and Computer Science in Bielsko-Biala	University
Piero Boccardo	Hartford Graduate Center (Rensselaer at Hartford)	University
Bernhard Stimpel	International Christian University	University
Pedro Hernández	National Institute of Technology, Durgapur	University
Danyang Li	Universidad Experimental Felix Adam	University
Zhiheng Zheng	Warsaw School of Social Psychology	University
Wallace Shep Pitts	University of Moncton, Shippagan	University
Pankaj Kumar	Brown Group	Company
Shunnosuke Ando	Vladimir State University	University
Yuxue Fan	Institut Sains & Teknologi Akprind	University
David A. Howey	Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique	University
Kailash Lachhwani	Shukutoku University	University
Xingmin Wang	Ward PLC	Company
Shinichi Shiraishi	Arnold, Wilson and Skinner	Company
Chunhe Xia	Johnson Ltd	Company
Fuquan Li	Chunchon National University of Education	University
Miroslav Bures	Anderson-Robinson	Company
Sergiy Korposh	Sellers, Ferguson and Parsons	Company
Robert Klopfleisch	Graham-Cooper	Company
Mayorkinos Papaelias	Fowler, Logan and Roberts	Company
Kexin Guo	Fachhochschule Hannover	University
Animesh Jain	Zimmerman-Decker	Company
Nicola Zambelli	Bates-Hines	Company
Shuyu Kong	Martin Ltd	Company
Juntao Sun	Evans, Cox and Hart	Company
Hamza Chniter	University of Wisconsin - La Crosse	University
Muhammad Moosa	Kaya University	University
Panos Kotsampopoulos	Internationale Fachhochschule Bad Honnef	University
X. Y. Ma	Smith, Johnson and Beltran	Company
Huangting Wu	Barrera-Rocha	Company
Valtemar F. Cardoso	South Valley University	University
Hui Jian	Universidade Federal do Amapá	University
Urs Schmidhalter	International Hellenic University	University
José M. Claver	Lester Group	Company
Chunming Li	Universidade Nova de Lisboa	University
Florian Dang	Jackson, Patterson and Smith	Company
Ajmal Shahzad	Texas Lutheran University	University
A. Olgun	Netaji Subhas Inst of Technology	University
Cornelia Györödi	Universitas Negeri Padang	University
Zimin Ma	Angelo State University	University
Lorand Szabo	Mullins Ltd	Company
Sai Sudheer Reddy Bonthu	Govind Ballabh Pant University of Agriculture and Technology	University
Qianfan Zhang	Fukui University	University
Ahyoung Choi	Holland, Mitchell and Hess	Company
Sik-Ho Tsang	University of Medicine Magway	University
Anja Remshagen	Ford, Johnson and Pierce	Company
Estefanía Crespo-Bardera	Smith, Jenkins and Fisher	Company
Wei Zhao 0014	Mccarthy, Harris and Kemp	Company
Alberto Borghetti	Rasmussen College, Wisconsin Campuses	University
Yohannes Tafesse	Thomas Ltd	Company
Chunxiao Cai	Hunter-Mills	Company
Pia Lindh	An-Najah National University	University
Ge Ren	Technical University of Koszalin	University
Vikram Pandey	Moore-Baker	Company
Haiyuan Yu	Pennsylvania State University Great Valley	University
Kouta Takeuchi	Leiden University	University
Binqiang Chen	Lebanese American University	University
Kaushik Basu	Kramer and Sons	Company
Tales Cleber Pimenta	Martinez and Sons	Company
Keming Cheng	Fox-Silva	Company
Wensheng Pan	Cameron-Noble	Company
Dan Gessler	Romero PLC	Company
Clivia M. Sotomayor Torres	Lucas, Jimenez and Gomez	Company
Chen He	Hungarian University of Physical Education	University
Franco Fummi	Dawson PLC	Company
Babita Pandey	Kirk, Brown and Wood	Company
Zeping Zhan	Kim PLC	Company
Alberto Lerner	Thomas LLC	Company
Yi-Cen Shi	Miyazaki Prefectural Nursing University	University
Yanyan Cai	Berry, Vazquez and Gamble	Company
Michihiro Kawanishi	Bass-Nixon	Company
Yuchen Jiang	Suleyman Demirel University	University
Anish V. Monsy	University of Notre Dame Australia	University
Simone Maier	Shandong University of Technology	University
Ren Xie	Long, Cooper and Lang	Company
Dongjie Bi	Hampden-Sydney College	University
Rajaram Siva Subramaniam	Auburn University	University
Zhang Zuo	Johnson-Brown	Company
Karuna P. Joshi	Universidad Nacional de Guinea Ecuatorial	University
Mihai Banu	Thompson-Lloyd	Company
Haizhou Xu	Jones-Flores	Company
Kamran Siddique	University of Commerce Luigi Bocconi	University
Yingxin Shou	Ruprecht-Karls-Universität Heidelberg	University
Edoardo Patti	Wagner, Garza and Armstrong	Company
Jing Wu 0002	Universidad Comunera	University
Hoon Cho	Uludag University	University
René Gislum	Fachhochschule Rottenburg, Hochschule für Forstwirtschaft	University
Josef Diblík	Ferguson, Clarke and Osborn	Company
João A. F. F. Dias	Anderson-Bennett	Company
Louise H. Crockett	Morgan, Robinson and Chapman	Company
Xiaobing Sun	University of Szczecin	University
Jialu Sun	Myers-Meyer	Company
Oliver Burghard	Athlone Institute of Technology	University
Michael J. Freitag	Poznan University of Life Sciences	University
Wen Yu 0001	Universidad Santo Tomás	University
Gaurav Veda	Knight, Chapman and Williams	Company
Yanhai Li	Osaka International University for Women	University
Aiqiang Pan	Timirjazev Moscow Academy of Agricultutre	University
Anusha I. Withana	Knight-Dunn	Company
R. LaOrsa	Hampton University	University
Kellie Vella	Bennett, Perez and Williams	Company
Paulo J. L. Nunes	Rangel Inc	Company
Luís Filipe Teixeira	Martinez, Owen and Hall	Company
Jihye Kim	Sanchez, Finley and Garcia	Company
Jiunyuan Chen	Vikrama Simhapuri University	University
Jetmir Haxhibeqiri	Hansen, White and Simon	Company
Tao Liang	Reid, Reyes and Travis	Company
Roger Ceschi	Gillespie LLC	Company
Manuel Gil	Gaborone Universal College of Law	University
Zhihao Yu	Barkatullah University	University
Ra&apos;ed Al-Dujaily	Montana State University	University
Niloufar Chakhmaghi	Thomas LLC	Company
Josep M. Guerrero	Tabor College	University
Wei Sun	Johnson Group	Company
Dominique Tournier	St. Louis University	University
Muhammad Ilyas Azeem	Farmer Inc	Company
Mohamed Khalgui	Ching Kuo Institue of Management & Health	University
Roberto C. L. Oliveira	Davenport, Warner and Cole	Company
Linqin Cai	Ohio University - Lancaster	University
Salar Fattahi	London School of Hygiene & Tropical Medicine, University of London	University
Xiangyu Meng	Universidad del Turismo	University
Jijun Xiong	Chapman LLC	Company
Alessandro Bacci	Vaughan and Sons	Company
Rongling Lang	Institute of Technology and Management	University
Aliazam Abbasfar	Universidade do Oeste de Santa Catarina	University
Junxia Guo	Indian Agricultural Research Institute	University
Náthalee C. Almeida	Al-Manar University	University
Yulin Duan	Gray and Sons	Company
Xiaohui Sun	Johnson, Fields and Ayers	Company
Joël Agnus	Nelson-Fernandez	Company
Xin Li 0033	Kirchliche Hochschule Wuppertal	University
Shouming Zhong	International Academy of  Merchandising and Design Tampa	University
Steven Bell	Guerra, Alexander and Petersen	Company
Yanpu Zhao	Thomas LLC	Company
Uwe D. Hanebeck	University of Art and Design Cluj-Napoca	University
Lois Mignard-Debise	Compton LLC	Company
Andrea Vázquez-Ingelmo	National Aerospace University Kharkov Aviation Institute	University
Matt Robbins	Chapman LLC	Company
Fuxun Liang	Kyrgyz State University of Construction, Transportation and Architecture	University
Vinay M. S	Wesley University of Science and Technology	University
Alberto Albiol	Petersen-Young	Company
Hani Fikry Ragai	Weber-Ferguson	Company
Rui Weng	Dnepropetrovsk National University	University
Thomas Kroger	Johnson Group	Company
Robert M. Mnatsakanov	Gillespie LLC	Company
Jingxi Yang	Salem College	University
Qiang He	Lutheran School Of Theology In Aarhus	University
Shahzad Asif	Lewis, Cooper and Kim	Company
Satoru Fukayama	Iwate University	University
Anthony Kong	ITT Technical Institute Maitland	University
Mohammad Ershadul Karim	Weeks-Johnson	Company
Henry Leung	Universitat Rámon Llull	University
Tara Whelan	Universidad Veritas	University
Michael Stonebraker	Brewer-Jones	Company
Xiaoguo Zhang	Garcia and Sons	Company
Xuhui Hu	Gilbert LLC	Company
Valère Plantevin	Shiraz University of Medical Sciences	University
Antoni Szumanowski	Elliott PLC	Company
Artur Quiring	Jawaharlal Nehru Technological University	University
Michael Defoort	Abai State University	University
Xingye Gu	Wakayama University	University
Fan Jin	Pontifícia Universidade Católica do Rio de Janeiro	University
Mian Muhammad Sadiq Fareed	Kent and Sons	Company
Murat Barut	University of Illinois at Chicago	University
Karim Alinani	The Johns Hopkins University	University
Seppo Yrjölä	Louisiana State University and Agricultural and Mechanical College	University
Maria Kihl	Ummah University	University
Maks Ovsjanikov	Yates and Sons	Company
Zhijian Wang	Weeks, Robertson and Garcia	Company
Tomohiro Tanikawa	Taeshin Christian University	University
Laura Capelli	Pitts-Duncan	Company
Elisabetta Farella	Farmer Inc	Company
Zebin Yang	Kathmandu University	University
Giuseppe Lullo	Aarhus School of Architecture	University
Peng Li 0006	Davis, Newton and Jimenez	Company
Kazushige Toriyama	Adama Science and Technology University	University
Jonathan Boisvert	Universidade Federal Fluminense	University
Ville Jalkanen	Buckinghamshire New University	University
Lequn Mo	University of Pisa	University
Xin Peng 0003	Kharkiv State Technical University of Construction and Architecture	University
José M. Pingarrón	Thomas Ltd	Company
Hasan Shahid Ferdous	University Oil- Gas Ploiesti	University
Giusi Sorrentino	Hochschule für Politik (HFP)	University
Bingjie Leng	Lawson, Davis and Hamilton	Company
Jaka Sodnik	Technische Universität Berlin	University
Scott Hodgins	Haynes-Gibson	Company
Yangyang Yan	Hochschule Bremerhaven	University
Muye Pang	Showa College of Pharmaceutical Sciences	University
Agnese Caglio	Universitas Bhayangkara Jakarta Raya	University
Zhifeng Liu	New Era University	University
Wen-Hsien Ho	Takasaki City University of Economics	University
Michael Gastpar	Johnson-Williams	Company
Min-Jhen Dai	Wilson, Harrell and Harvey	Company
Yuyuan Fang	Indian Institute of Science	University
Zhizhong Kan	Whitney, Harris and White	Company
Yijun Wang	Chung-Jacobson	Company
Maud Vinet	Mcknight, Young and Rivera	Company
Romuald Pépion	Strathmore University	University
Renxian Cao	Williams-Miller	Company
Georg F. Lauss	Diaconia University of Applied Sciences	University
Kai-Chun Liu	Gonzalez, Black and Wolf	Company
Aamir Shafi	Sanford-Parker	Company
Hoon Sohn	Tilak Maharashtra Vidyapeeth	University
Junhua Sun	Dickinson College	University
Rongxin Fang	Yukon College	University
Yizhou Zhang	Hayes, Green and Chapman	Company
Ivan Svogor	Hartman-Lawrence	Company
Ronald Y. Chang	Beltran Ltd	Company
Anders Drachen	Howard, Love and Ryan	Company
Shubhi Purwar	Moscow State Industrial University	University
Behrooz Mazaheri Tehrani	Baltimore International College	University
Chenxiang Lin	House, Rose and Kelly	Company
Bryant Chen	Cooper-Allen	Company
Rajkumar Kettimuthu	Jacobs, Vargas and Smith	Company
Ramamurthy V. Dwivedula	Dorsey, Cox and Johnson	Company
Melike Erol-Kantarci	Fachhochschule Reutlingen, Hochschule für Technik und Wirtschaft	University
Kashif Rehan	Gomez-Miller	Company
Alexander W. Koch	Valdez-Weber	Company
Chang-Ming Liaw	Breyer State University (Virtual University)	University
Julio Benítez	Bryn Athyn College of the New Church	University
Riccardo Diamanti	Chung-Jacobson	Company
Aurélie Hurault	Universitas Sarjanawiyata Tamansiswa	University
Li Peng 0005	Trujillo-Baker	Company
Yuanjin Yu	Jimenez PLC	Company
Mohamed Karaa	National Taiwan College of the Arts	University
Adrian-C. Pop	Eberhard-Karls-Universität Tübingen	University
Rebeca I. García-Betances	Myers, Ross and Thompson	Company
Tonino Pisanu	Snyder Group	Company
Qian Zhao	Humber College	University
Mohammad S. Obaidat	Silva-Dyer	Company
Theodora A. Varvarigou	Petersen-Young	Company
Branko Glisic	Warsaw School of Economics	University
Juan A. Besada	Keio University	University
Tielin Shi	Watkins, Diaz and Guzman	Company
Jingpei Yang	Lee-Watson	Company
Min Soo Sim	Hartman-Lawrence	Company
Isaías González	Ferdowsi University of Mashhad	University
Tauseef Rana	Université de Sétif	University
Jahanzeb Maqbool Hashmi	Medizinische Hochschule Hannover	University
Luca De Nardis	Rivas-Graves	Company
Zhaoxin Geng	University of Great Falls	University
Simo Hosio	Sanford-Parker	Company
Wenqin Zhang	Woodbury University	University
Longtao Chen	University of Calabar	University
Bhalchandra Nemichand Chaudhari	Fowler-Rowland	Company
Waqas Aman	Sandoval, Stuart and Hale	Company
Enric Climent	Maynard LLC	Company
Maria Spichkova	Romero Inc	Company
Yuzu Saijo	Davis-Palmer	Company
Yuan Zou	CCS Haryana Agricultural University	University
Jinwei He	Escobar PLC	Company
Cédric Tarayre	Griffith Ltd	Company
Hiroshi Murase	Jones, Reilly and Lozano	Company
Kalpesh Balar	Williams, Campbell and Cline	Company
Buyun Jia	Olivet Nazarene University	University
Hongwei Qin	Campbell, Mays and Ward	Company
M. Inmaculada González-Martín	University of Applied Sciences	University
Yipin Zhang	Moore and Sons	Company
Quanxin Zhao	Universitas Ibn Khaldun Bogor	University
Daniel Migault	Medical Faculty, Osh State University	University
Helmut Graeb	Brown, Wallace and Davis	Company
María Pedrero	American University	University
Kwang-Cheng Chen	Curtis, Williams and Cook	Company
Trevor Yensen	University of Electronic Science and Technology of China	University
Yoshiharu Ishikawa	Norfolk State University	University
Zhenhong Jia	Martinez-Garcia	Company
Bryan W. Scotney	Nichols PLC	Company
Juan Camilo Vasquez Tieck	St. Petersburg State Technical University	University
Gonzalo A. Orcajo	Kemp-Schmidt	Company
Fahad Abdullah Moafa	Misr University for Sience and Technology	University
Ashish Choudhury	Meadows, Whitney and Jacobs	Company
Wu-chun Feng	Hartman-Lawrence	Company
Aimin Xu	Ursinus College	University
Youngjoo Lee	Roberts-Ortiz	Company
Hui Tang 0001	Smith Group	Company
Dipanjan Gope	Brown Group	Company
Wei Wei	Tianjin Academy of Fine Art	University
Shamsul Sahibuddin	Universidad Autónoma de Occidente	University
Dongkyun Ahn	Duran-Perez	Company
Gulnar Ali	Wheeler-Rodriguez	Company
Zhiyuan Liu 0005	Kongju National University of Education	University
Jong-Wha Chong	Jones-Watkins	Company
Weitong Zhang	Brown, Matthews and Huynh	Company
Guixiang Jiang	Brown, Matthews and Huynh	Company
Gerardo Blanco	Jensen, Camacho and Oliver	Company
Alexandra Kitson	Bournemouth University	University
Rajeev Bajaj	Providence University	University
Aly Ferreira Flores Filho	Music Academy in Cracow	University
Antonis Economou	Universidade Tiradentes	University
Huan-Yuan Chen	Ryan LLC	Company
Nils Lichtenberg	Taylor, Patrick and Daugherty	Company
Licia Calvi	Technische Fachhochschule Wildau	University
Riccardo Muradore	Frank LLC	Company
Taeyong Kang	Donovan-Kelley	Company
Juyoung Kang 0001	Nagasaki Institute of Applied Science	University
Benjamin Delaware	Salem International University	University
Ghulam Hafeez	Jackson and Sons	Company
James C. Barnard	Universidad de San Buenaventura Medellin	University
Danlin Jia	Hatfield, Cox and Moreno	Company
Wangpeng He	Medina-Holt	Company
Salvador Martinez Garcia	Stetson University	University
Hassan Khosravi	University of Colorado Health Sciences Center	University
S. Priya Sekhar	Haas LLC	Company
Taichi Sakabe	Shanghai Business School	University
Iman Avazpour	Davis Group	Company
Nicolai Petkov	Martin, Dennis and Bell	Company
Valeria S. Gamboa	Notre Dame College	University
Samar Elaraby	University of Windsor	University
Songlin Zhang	Simmons LLC	Company
Silvia Chiarini	Gomez-Miller	Company
Harald Wiesbauer	Ivano-Frankivsk National University of Oli and Gas	University
Qun Wan	Smith-Medina	Company
Xiaohui Chen	Harris Group	Company
Ester Tarantino	Wolf and Sons	Company
Tae Wook Kim	Wood, Montgomery and Taylor	Company
David Gil	Université de Haute-Alsace	University
Elizaveta Klantsataya	Peterson, Olson and Phillips	Company
Philippe Lalanda	Universidad Latinoamericana de Ciencia y Tecnología	University
Aysha Ebrahim	Howell-Contreras	Company
Andrew Howard	Braun, Reid and Hall	Company
Laurence T. Yang	Gonzalez, Stephens and Rivera	Company
Rubaiyet Iftekharul Haque	Universidad Metropolitana de Honduras	University
Chi-Jim Chen	Zimmerman-Decker	Company
Dorit Merhof	Stephens Group	Company
Hongjie Mou	Universidad de Cantabria	University
Nan Zhao 0004	Novena University	University
Amir Herzberg	Universidad Libre de Costa Rica	University
Jie He	Johnson, Nicholson and Armstrong	Company
York R. Smith	Koch-Cole	Company
Cynthia L. Bennett	Eastern New Mexico University	University
Ming Li 0029	Notre Dame College	University
Jia Zhan	Universidade Católica de Santos	University
Hwa-Pyeong Park	Maynard LLC	Company
Saminathan Mohanapriya	University Canada West	University
Zhengchuan Chen	Warren, Gray and Coleman	Company
Liangliang Jin	Lewis and Sons	Company
Woojoo Lee	Technische Fachhochschule Georg Agricola für Rohstoff, Energie und, Umwelt zu Bochum	University
Guohao Lyu	Williams LLC	Company
Ilung Pranata	Salazar-Johns	Company
Salman Ahmad	Southeastern Bible College	University
Quinn Jones	Ford-Alexander	Company
Yeon Ju Lee	Abfi Institute Perbanas Jakarta	University
Marta Di Michele	Carroll Inc	Company
Lingjia Tang	Near East School of Theology	University
Kirsten Rundberget	Technological University (Kalay)	University
Moulay Akhloufi	Stone, Carey and Jones	Company
Mansi Sharma	Mcdonald LLC	Company
Martin Rinard	Midland Lutheran College	University
Raluca Marin-Perianu	Gordon College	University
Naveed ur Rehman	College of Computer Science in Lodz	University
Fambirai Takawira	Chernivci National University	University
Juan C. Fernandez	Universitas Muhammadiyah Mataram	University
Christophe De Vleeschouwer	University of California, Davis	University
Mariusz Bogdan	National Institute of Technology, Jamshedpur	University
Shuxia Jiang	Stockholm School of Economics in Riga	University
Pascal Vivet	Smith, Graham and Kelly	Company
Wendy Ng	Griffin-Webb	Company
Addisson Salazar	Missouri Western State College	University
Qingxin Yang	Brandman University	University
Abdel Aitouche	University of Ballarat	University
Valeria Vittorini	Salazar-Johns	Company
Eric Chan-Tin	University of Limerick	University
Abdul Halim Yatim	Lewis Group	Company
Sohail Wahid	Moscow Power Engineering Institute (Technical University)	University
Karima M. Oraby	University of California, Riverside	University
Kang Kang	Olivet Nazarene University	University
Julian W. Gardner	Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg	University
Jian-Qiang Zhang	Université de Biskra	University
Andre F. R. Guarda	Gomez Ltd	Company
Carlos Martín-Alberca	Holmes-Wyatt	Company
Milan Cermák	British Institute in Paris, University of London	University
Ahmad M. Jaradat	Ferguson, Clarke and Osborn	Company
Yuli Yang	Cooper-Allen	Company
Alar Kuusik	Regis University	University
Michel Dumontier	Caldwell-Nelson	Company
Wonjun Kim	Rajitlal Institute of Technology & Health Sciences (RITHS)	University
Ho-Seung Cha	Martinez, Owen and Hall	Company
Ze Yu	Damietta University	University
Sami Hyrynsalmi	Wade-Miller	Company
Sergey Lobov	Harvey Mudd College	University
Joaquín del Río	Pennsylvania State University - Berks-Lehigh Valley College	University
Feng Wei	Santos LLC	Company
Aadjan van der Helm	Kramer and Sons	Company
Fuchao Ge	Universität Kassel	University
Luis Llopis	Whitney, Harris and White	Company
Ashish Dutt	Myers, Ross and Thompson	Company
Iori Otomo	University of Thessaly	University
Yunpeng Su	Sanchez Ltd	Company
Kunxian Zheng	Seoul Women's University	University
Seungbin Song	Wilson, Harrell and Harvey	Company
Olivier Lefebvre	Frazier-Rodriguez	Company
Chiara Perri	Al-Manar University	University
Xi&apos;an Feng	Bow Valley College	University
Tam-Khanh Tu Nguyen	University of Islamic Studies	University
Wen-Mei Hwu	Stanley and Sons	Company
Jeong-Rae Cho	Martinez-Patterson	Company
Yi-Hsiang Huang	Gay-Powell	Company
Akari Itaya	Sanchez-Dominguez	Company
Sangkyu Park	Yorker International University	University
Said Jadid Abdul Kadir	Stewart Inc	Company
Zaiping Lin	Knight-Dunn	Company
Leopoldo Angrisani	University of Bergamo	University
Changcai Yang	FAST - National University of Computer and Emerging Sciences (NUCES)	University
Manel Khodja	Kelley, Jones and Kim	Company
Gerome Miklau	Thompson, Maddox and Wilson	Company
Marco Salucci	Reed PLC	Company
Mohamed Jemni	Sanford-Parker	Company
Manuel Gadella	Kitasato University	University
Marco Grangetto	Davidson College	University
Kaiguang Zhu	Tarlac State University	University
Jianwei Wang	Sandoval, Cabrera and Peterson	Company
Maysam Abbod	Mongolian State University of Arts and Culture	University
Hui Tang 0003	Wood, Montgomery and Taylor	Company
Francisco Kiss	Sulaimani Polytechnic University	University
Arslan Ahmed Amin	Harris-Smith	Company
Yu Fan	Bradley, Allen and Davis	Company
Hyuk-Kee Sung	University of Huddersfield	University
Antonio Lázaro	Moore-Baker	Company
Tianhong Wang	Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)	University
Sainath Batthala	Chapman LLC	Company
Ted Selker	Mays LLC	Company
Rami Hamdi	Benitez LLC	Company
Philippe Poulin	Anderson-Delgado	Company
